Keith Van Horn,Milwaukee Bucks,2,2004-05,9.1(9.1),0.0(0.0),8.7(8.7),18.2(18.2),8.2(8.2),0.0(0.0),26.0(26.0),7.8(7.8),6.1(6.1),6.9(6.9)
Christian Laettner,Miami Heat,7,2004-05,0.0(0.0),0.0(0.0),8.1(8.1),9.5(9.5),0.0(0.0),0.0(0.0),37.6(37.6),9.5(9.5),13.3(13.3),7.1(7.1)
Ronald Dupree,Detroit Pistons,2,2004-05,0.0(0.0),0.0(0.0),8.4(8.4),23.9(23.9),0.0(0.0),0.0(0.0),24.5(24.5),0.0(0.0),14.2(14.2),11.6(11.6)
Ray Allen,Oklahoma City Thunder,12,2004-05,3.6(3.6),18.5(18.5),20.3(20.3),12.0(12.0),21.0(21.0),1.3(1.3),16.6(16.6),0.0(0.0),0.9(0.9),1.6(1.6)
Damien Wilkins,Oklahoma City Thunder,4,2004-05,0.0(0.0),0.0(0.0),12.5(12.5),16.3(16.3),0.0(0.0),0.0(0.0),41.9(41.9),0.0(0.0),7.5(7.5),0.0(0.0)
Kenyon Martin,Denver Nuggets,5,2004-05,26.0(26.0),0.0(0.0),14.1(14.1),12.1(12.1),0.0(0.0),0.0(0.0),13.4(13.4),4.5(4.5),13.1(13.1),7.6(7.6)
Dale Davis,Golden State Warriors,11,2004-05,22.9(22.9),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),22.9(22.9),21.4(21.4)
Jabari Smith,Brooklyn Nets,7,2004-05,11.8(11.8),0.0(0.0),10.7(10.7),9.1(9.1),0.0(0.0),0.0(0.0),29.4(29.4),12.3(12.3),8.6(8.6),5.9(5.9)
Richard Jefferson,Brooklyn Nets,12,2004-05,13.5(13.5),14.0(14.0),13.9(13.9),11.5(11.5),9.9(9.9),4.1(4.1),18.8(18.8),0.0(0.0),4.4(4.4),2.3(2.3)
Brad Miller,Sacramento Kings,7,2004-05,10.7(10.7),0.0(0.0),12.6(12.6),6.5(6.5),2.3(2.3),0.0(0.0),25.3(25.3),15.2(15.2),12.9(12.9),6.9(6.9)
Othella Harrington,Chicago Bulls,10,2004-05,42.8(42.8),0.0(0.0),7.9(7.9),2.6(2.6),0.0(0.0),0.0(0.0),12.1(12.1),13.2(13.2),7.3(7.3),7.7(7.7)
Nene Hilario,Denver Nuggets,11,2004-05,29.2(29.2),0.0(0.0),7.6(7.6),11.9(11.9),0.0(0.0),0.0(0.0),7.8(7.8),4.9(4.9),18.6(18.6),10.4(10.4)
Andrei Kirilenko,Utah Jazz,2,2004-05,9.6(9.6),0.0(0.0),17.8(17.8),11.3(11.3),6.9(6.9),3.2(3.2),19.3(19.3),2.1(2.1),15.2(15.2),8.4(8.4)
Leandro Barbosa,Phoenix Suns,8,2004-05,0.0(0.0),24.9(24.9),9.0(9.0),24.4(24.4),0.0(0.0),0.0(0.0),22.9(22.9),0.0(0.0),4.4(4.4),0.0(0.0)
