PLAYER_NAME,DEF_RATING,PCT_DREB,PCT_STL,PCT_BLK,OPP_OFF_TOV,OPP_2ND_CHANCE,OPP_FB,OPP_PAINT,DEF_WS
DeMarcus Cousins,104.4,0.36,0.23,0.43,13.8,9.8,10.9,31.8,0.04
Stephen Curry,98.3,0.17,0.35,0.04,12.2,9.8,10.8,32.8,0.06
James Harden,106.0,0.21,0.22,0.15,14.5,10.7,11.0,32.8,0.03
Damian Lillard,107.3,0.14,0.17,0.11,12.3,9.3,8.7,32.8,0.02
Kevin Durant,102.2,0.28,0.18,0.25,13.0,10.9,10.1,33.7,0.05
Anthony Davis,107.3,0.33,0.23,0.57,10.9,8.5,9.2,32.2,0.02
LeBron James,101.4,0.24,0.27,0.22,11.4,8.4,8.5,30.3,0.05
Carmelo Anthony,105.8,0.26,0.21,0.13,11.4,9.5,9.9,32.2,0.03
Russell Westbrook,102.2,0.23,0.38,0.05,12.7,10.5,9.4,33.9,0.05
Paul George,100.0,0.25,0.27,0.11,12.2,9.7,9.0,30.7,0.06
CJ McCollum,104.8,0.11,0.23,0.08,11.9,8.9,8.3,30.3,0.03
DeMar DeRozan,104.1,0.15,0.18,0.07,11.1,8.9,8.6,30.6,0.04
John Wall,103.3,0.18,0.29,0.24,11.7,9.0,9.1,30.3,0.04
Klay Thompson,99.7,0.13,0.13,0.14,12.6,10.1,10.5,33.8,0.06
Blake Griffin,100.0,0.29,0.16,0.14,10.6,9.0,8.2,30.3,0.06
Brandon Knight,107.5,0.13,0.2,0.13,14.8,9.5,12.8,32.7,0.02
Isaiah Thomas,102.6,0.11,0.18,0.04,10.8,11.0,7.9,32.3,0.04
Kobe Bryant,114.1,0.17,0.22,0.09,12.8,12.0,14.3,37.7,-0.01
Kyrie Irving,104.7,0.1,0.24,0.13,10.7,8.3,9.5,33.6,0.03
Kemba Walker,102.2,0.15,0.29,0.12,9.9,8.7,8.5,30.0,0.05
Dwyane Wade,103.9,0.14,0.26,0.13,12.5,9.9,9.2,33.1,0.04
Nikola Vucevic,105.5,0.29,0.16,0.37,11.7,7.9,10.0,31.0,0.03
Andrew Wiggins,106.6,0.1,0.16,0.16,12.6,9.7,10.1,34.5,0.03
Derrick Rose,105.8,0.12,0.18,0.05,11.8,11.2,10.3,34.9,0.03
Eric Bledsoe,103.5,0.15,0.32,0.21,13.5,9.7,11.6,32.6,0.04
Brook Lopez,106.3,0.22,0.15,0.66,13.3,8.4,10.7,33.7,0.03
Reggie Jackson,104.1,0.12,0.17,0.06,10.7,8.0,7.8,34.3,0.04
Kyle Lowry,102.6,0.16,0.33,0.1,10.7,8.7,7.8,29.6,0.04
Jimmy Butler,103.3,0.16,0.33,0.14,11.3,11.0,10.0,32.6,0.04
Kawhi Leonard,94.9,0.23,0.31,0.23,9.2,7.5,9.3,29.4,0.08
Chris Paul,99.8,0.16,0.36,0.05,9.8,8.9,8.4,29.8,0.06
Gordon Hayward,102.8,0.17,0.21,0.08,11.8,8.6,9.0,29.7,0.04
Dirk Nowitzki,104.1,0.27,0.16,0.28,10.5,9.9,11.6,28.5,0.04
Jahlil Okafor,108.7,0.24,0.09,0.3,16.4,10.3,13.3,33.9,0.02
Bradley Beal,105.2,0.13,0.18,0.08,12.2,8.6,9.6,31.0,0.03
Khris Middleton,104.7,0.14,0.25,0.06,12.5,10.9,9.5,32.6,0.03
Chris Bosh,100.3,0.27,0.15,0.16,11.3,9.7,7.2,28.8,0.05
Rudy Gay,106.4,0.21,0.23,0.23,13.8,9.7,11.5,33.1,0.03
Jrue Holiday,105.9,0.13,0.27,0.13,10.4,8.5,7.8,30.6,0.03
LaMarcus Aldridge,97.1,0.28,0.1,0.27,9.2,7.7,9.2,29.7,0.07
Karl-Anthony Towns,108.1,0.37,0.13,0.52,12.7,10.2,10.3,34.2,0.02
Ryan Anderson,106.9,0.2,0.12,0.13,11.0,9.0,8.6,33.7,0.02
Jordan Clarkson,111.5,0.13,0.24,0.03,12.2,11.0,12.8,36.8,0.0
Pau Gasol,103.5,0.38,0.15,0.49,11.9,11.5,10.3,33.5,0.04
Marc Gasol,102.9,0.27,0.15,0.44,11.1,8.6,11.3,27.8,0.04
Avery Bradley,102.9,0.1,0.24,0.08,10.9,11.5,8.0,32.1,0.04
Victor Oladipo,104.5,0.18,0.31,0.21,12.4,9.1,9.8,32.5,0.04
Zach Randolph,105.8,0.28,0.13,0.08,11.1,9.5,11.2,30.2,0.03
Emmanuel Mudiay,107.1,0.14,0.19,0.16,12.6,8.5,10.0,32.0,0.02
Danilo Gallinari,106.9,0.18,0.14,0.11,12.2,8.6,9.8,32.4,0.02
Thaddeus Young,107.4,0.29,0.3,0.22,13.4,8.5,11.0,35.9,0.02
Paul Millsap,100.1,0.29,0.29,0.39,11.9,10.5,9.5,31.6,0.05
