PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,5.23,58.67,3.06,1.21,64.29,187.0
Stephen Curry,5.97,62.0,4.17,1.32,64.17,249.0
James Harden,1.67,56.25,5.13,1.21,58.97,181.0
Damian Lillard,3.11,63.83,11.86,1.2,59.32,179.0
Kevin Durant,3.99,78.69,6.85,1.49,75.34,321.0
Anthony Davis,7.5,65.88,2.8,1.36,68.22,262.0
LeBron James,5.66,73.03,6.67,1.39,67.62,280.0
Carmelo Anthony,3.13,55.56,0.0,1.15,59.62,138.0
Russell Westbrook,1.86,70.37,15.79,1.24,63.16,198.0
Paul George,3.68,72.0,5.63,1.48,74.65,318.0
CJ McCollum,2.21,61.76,5.26,1.21,60.53,186.0
DeMar DeRozan,1.58,76.0,3.45,1.55,75.86,333.0
John Wall,0.89,41.67,12.5,0.94,43.75,29.0
Klay Thompson,8.43,59.83,5.88,1.22,59.56,190.0
Blake Griffin,5.41,90.32,4.76,1.62,88.1,343.0
Brandon Knight,2.36,66.67,14.81,1.22,59.26,191.0
Isaiah Thomas,1.74,60.71,3.13,1.22,62.5,189.0
Kobe Bryant,1.79,45.0,8.33,0.96,45.83,36.0
Kyrie Irving,1.31,90.0,21.43,1.5,71.43,322.0
Kemba Walker,1.95,72.0,6.06,1.45,72.73,307.0
Dwyane Wade,5.04,53.45,13.92,1.04,51.9,79.0
Nikola Vucevic,9.59,54.37,6.78,1.05,53.39,83.0
Andrew Wiggins,5.49,61.76,4.21,1.31,67.37,242.0
Derrick Rose,3.47,37.5,6.67,0.73,37.78,4.0
Eric Bledsoe,1.62,70.0,0.0,1.36,72.73,263.0
Brook Lopez,13.69,64.33,3.4,1.33,66.5,251.0
Reggie Jackson,1.06,78.57,5.88,1.59,76.47,338.0
Kyle Lowry,0.68,75.0,0.0,1.73,81.82,352.0
Jimmy Butler,9.16,75.49,1.59,1.53,77.78,329.0
Kawhi Leonard,4.3,65.96,3.51,1.42,68.42,292.0
Chris Paul,0,0,0,0,0,0
Gordon Hayward,3.86,56.0,6.45,1.16,56.45,149.0
Dirk Nowitzki,3.2,78.38,2.38,1.55,78.57,332.0
Jahlil Okafor,11.07,45.36,4.59,0.89,45.87,20.0
Bradley Beal,3.39,77.78,6.06,1.45,75.76,307.0
Khris Middleton,2.07,44.44,0.0,0.93,46.67,28.0
Chris Bosh,4.56,73.33,4.55,1.48,75.0,317.0
Rudy Gay,5.99,55.22,5.33,1.05,53.33,85.0
Jrue Holiday,2.01,85.0,4.17,1.63,83.33,344.0
LaMarcus Aldridge,8.98,70.0,3.48,1.43,70.43,304.0
Karl-Anthony Towns,8.02,71.13,5.17,1.39,68.97,279.0
Ryan Anderson,2.6,54.55,6.9,1.1,58.62,111.0
Jordan Clarkson,5.37,63.93,7.04,1.24,61.97,202.0
Pau Gasol,7.23,54.67,7.53,1.11,55.91,114.0
Marc Gasol,8.23,64.06,5.19,1.26,64.94,212.0
Avery Bradley,4.56,77.08,3.7,1.5,75.93,322.0
Victor Oladipo,4.65,67.35,0.0,1.37,70.18,267.0
Zach Randolph,6.24,70.69,7.25,1.33,66.67,252.0
Emmanuel Mudiay,2.88,57.14,11.43,1.09,54.29,101.0
Danilo Gallinari,5.37,67.65,3.85,1.42,71.15,294.0
Thaddeus Young,15.94,58.23,9.09,1.09,55.08,104.0
Paul Millsap,11.69,62.41,7.14,1.23,62.5,196.0
Derrick Favors,22.68,63.68,6.9,1.26,63.36,210.0
Andre Drummond,12.42,60.69,3.28,1.14,60.66,129.0
Al Horford,10.68,60.68,5.38,1.18,58.46,165.0
Kevin Love,4.28,45.0,7.41,1.02,51.85,68.0
Giannis Antetokounmpo,10.92,67.86,6.54,1.31,67.32,248.0
Monta Ellis,1.91,73.68,16.0,1.28,64.0,226.0
Kentavious Caldwell-Pope,3.18,70.0,5.41,1.43,70.27,302.0
Tyreke Evans,0,0,0,0,0,0
Ish Smith,0,0,0,0,0,0
Nicolas Batum,2.45,52.38,14.29,1.0,50.0,43.0
Mike Conley,2.64,82.35,8.7,1.61,78.26,341.0
Jeff Teague,1.57,66.67,9.52,1.33,66.67,252.0
Rodney Hood,2.03,56.52,0.0,1.17,58.33,152.0
Kristaps Porzingis,10.73,56.82,10.0,1.13,58.33,119.0
Goran Dragic,2.73,55.56,6.45,1.03,51.61,78.0
Eric Gordon,1.48,66.67,0.0,1.4,70.0,283.0
Will Barton,4.0,68.89,2.04,1.37,69.39,266.0
D'Angelo Russell,3.88,71.79,8.33,1.4,68.75,281.0
Greg Monroe,17.62,60.84,5.66,1.2,62.74,178.0
Deron Williams,1.78,66.67,11.11,1.22,61.11,191.0
Jamal Crawford,0,0,0,0,0,0
Marcus Morris,2.0,80.95,4.17,1.67,79.17,348.0
Jabari Parker,17.2,60.38,7.29,1.18,59.9,164.0
Evan Fournier,4.45,62.5,7.69,1.31,63.46,243.0
JJ Redick,1.44,53.85,13.33,1.0,46.67,43.0
Zach LaVine,1.93,57.89,4.35,1.17,60.87,154.0
Tobias Harris,3.13,90.0,7.69,1.69,84.62,350.0
Devin Booker,4.06,67.44,2.17,1.37,67.39,269.0
Arron Afflalo,3.32,72.0,6.45,1.45,70.97,306.0
Markieff Morris,5.95,68.75,4.76,1.43,71.43,296.0
