PLAYER_NAME,0-2 Feet - Very Tight,2-4 Feet - Tight,4-6 Feet - Open,6+ Feet - Wide Open
DeMarcus Cousins,0.0,0.04,0.13,0.19
Stephen Curry,0.03,0.2,0.32,0.15
James Harden,0.03,0.28,0.26,0.07
Damian Lillard,0.04,0.21,0.3,0.1
Kevin Durant,0.05,0.36,0.23,0.08
Anthony Davis,0.02,0.13,0.24,0.12
LeBron James,0.01,0.11,0.22,0.09
Carmelo Anthony,0.05,0.33,0.28,0.07
Russell Westbrook,0.04,0.17,0.22,0.12
Paul George,0.05,0.3,0.29,0.12
CJ McCollum,0.05,0.24,0.28,0.14
DeMar DeRozan,0.05,0.28,0.19,0.05
John Wall,0.02,0.18,0.32,0.16
Klay Thompson,0.03,0.24,0.31,0.17
Blake Griffin,0.01,0.05,0.24,0.28
Brandon Knight,0.03,0.17,0.32,0.17
Isaiah Thomas,0.02,0.22,0.22,0.08
Kobe Bryant,0.06,0.45,0.24,0.08
Kyrie Irving,0.05,0.21,0.22,0.14
Kemba Walker,0.04,0.21,0.3,0.12
Dwyane Wade,0.01,0.24,0.19,0.03
Nikola Vucevic,0.0,0.11,0.19,0.17
Andrew Wiggins,0.05,0.19,0.19,0.09
Derrick Rose,0.03,0.21,0.26,0.05
Eric Bledsoe,0.02,0.11,0.26,0.21
Brook Lopez,0.02,0.08,0.18,0.12
Reggie Jackson,0.04,0.18,0.24,0.08
Kyle Lowry,0.03,0.24,0.26,0.12
Jimmy Butler,0.05,0.23,0.22,0.08
Kawhi Leonard,0.03,0.22,0.3,0.13
Chris Paul,0.02,0.24,0.36,0.16
Gordon Hayward,0.03,0.15,0.27,0.19
Dirk Nowitzki,0.05,0.37,0.27,0.18
Jahlil Okafor,0.01,0.11,0.17,0.02
Bradley Beal,0.03,0.16,0.28,0.21
Khris Middleton,0.06,0.36,0.23,0.09
Chris Bosh,0.01,0.17,0.31,0.22
Rudy Gay,0.03,0.16,0.17,0.13
Jrue Holiday,0.03,0.15,0.25,0.12
LaMarcus Aldridge,0.02,0.14,0.17,0.23
Karl-Anthony Towns,0.0,0.05,0.21,0.18
Ryan Anderson,0.01,0.14,0.31,0.23
Jordan Clarkson,0.04,0.17,0.25,0.11
Pau Gasol,0.01,0.1,0.23,0.22
Marc Gasol,0.01,0.1,0.23,0.21
Avery Bradley,0.04,0.26,0.29,0.17
Victor Oladipo,0.04,0.14,0.28,0.17
Zach Randolph,0.0,0.04,0.22,0.12
Emmanuel Mudiay,0.02,0.19,0.26,0.15
Danilo Gallinari,0.02,0.18,0.33,0.12
Thaddeus Young,0.0,0.04,0.12,0.07
Paul Millsap,0.01,0.08,0.17,0.16
Derrick Favors,0.01,0.08,0.22,0.12
Andre Drummond,0.01,0.04,0.01,0.01
Al Horford,0.01,0.03,0.18,0.36
Kevin Love,0.01,0.07,0.25,0.3
Giannis Antetokounmpo,0.01,0.05,0.13,0.13
Monta Ellis,0.03,0.22,0.28,0.14
Kentavious Caldwell-Pope,0.05,0.21,0.26,0.17
Tyreke Evans,0.0,0.09,0.17,0.15
Ish Smith,0.01,0.16,0.2,0.12
Nicolas Batum,0.06,0.28,0.29,0.18
Mike Conley,0.02,0.13,0.28,0.2
Jeff Teague,0.02,0.09,0.17,0.21
Rodney Hood,0.06,0.22,0.28,0.15
Kristaps Porzingis,0.03,0.18,0.25,0.19
Goran Dragic,0.02,0.15,0.26,0.12
Eric Gordon,0.01,0.11,0.29,0.28
Will Barton,0.02,0.17,0.25,0.1
D'Angelo Russell,0.05,0.25,0.29,0.15
Greg Monroe,0.01,0.02,0.06,0.05
Deron Williams,0.02,0.2,0.27,0.16
Jamal Crawford,0.08,0.37,0.25,0.09
Marcus Morris,0.02,0.28,0.3,0.14
