PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,2.51,33.33,6.38,0.77,36.17,86.0
Stephen Curry,4.73,65.97,15.79,1.18,47.37,213.0
James Harden,3.71,55.26,22.99,0.95,40.23,161.0
Damian Lillard,6.59,48.13,8.8,0.94,39.2,158.0
Kevin Durant,2.18,59.68,10.0,1.25,55.0,221.0
Anthony Davis,0.98,75.0,0.0,1.5,64.29,235.0
LeBron James,1.89,64.06,5.71,1.26,54.29,227.0
Carmelo Anthony,2.59,51.28,6.98,0.98,46.51,173.0
Russell Westbrook,2.3,44.74,12.77,0.87,36.17,128.0
Paul George,5.34,38.07,8.74,0.8,33.01,100.0
CJ McCollum,7.8,46.64,7.46,0.9,39.55,139.0
DeMar DeRozan,4.2,45.45,10.39,0.99,49.35,177.0
John Wall,2.51,40.91,22.22,0.69,28.89,48.0
Klay Thompson,3.6,61.96,8.62,1.21,51.72,215.0
Blake Griffin,0,0,0,0,0,0
Brandon Knight,7.44,44.03,15.29,0.8,35.29,102.0
Isaiah Thomas,9.32,43.9,13.45,0.93,43.86,154.0
Kobe Bryant,6.94,34.67,11.83,0.76,31.18,84.0
Kyrie Irving,4.3,32.43,10.87,0.72,32.61,58.0
Kemba Walker,5.98,51.88,8.91,1.07,48.51,199.0
Dwyane Wade,4.4,37.5,10.14,0.78,39.13,93.0
Nikola Vucevic,0.89,36.36,0.0,0.73,36.36,63.0
Andrew Wiggins,6.7,50.53,8.62,1.0,46.55,179.0
Derrick Rose,3.55,38.46,13.04,0.65,32.61,32.0
Eric Bledsoe,2.65,43.33,11.11,0.78,38.89,90.0
Brook Lopez,0.73,50.0,9.09,0.91,45.45,144.0
Reggie Jackson,2.06,27.59,9.09,0.55,21.21,19.0
Kyle Lowry,5.46,50.0,6.74,1.08,46.07,201.0
Jimmy Butler,5.53,50.0,7.89,1.07,47.37,197.0
Kawhi Leonard,6.42,51.35,5.88,1.05,48.24,192.0
Chris Paul,3.26,50.0,10.64,0.96,44.68,164.0
Gordon Hayward,11.52,44.14,13.51,0.84,38.38,120.0
Dirk Nowitzki,0.76,50.0,20.0,0.8,40.0,102.0
Jahlil Okafor,0,0,0,0,0,0
Bradley Beal,7.19,50.91,20.0,0.84,35.71,119.0
Khris Middleton,10.3,57.02,12.08,1.05,41.61,191.0
Chris Bosh,1.24,55.0,0.0,1.25,58.33,221.0
Rudy Gay,2.23,50.0,17.86,0.86,39.29,123.0
Jrue Holiday,5.6,61.32,11.94,1.09,49.25,204.0
LaMarcus Aldridge,0,0,0,0,0,0
Karl-Anthony Towns,0,0,0,0,0,0
Ryan Anderson,1.35,38.89,20.0,0.87,40.0,125.0
Jordan Clarkson,5.9,60.14,5.13,1.17,51.28,211.0
Pau Gasol,0,0,0,0,0,0
Marc Gasol,0,0,0,0,0,0
Avery Bradley,17.16,44.61,12.81,0.83,36.95,114.0
Victor Oladipo,8.65,45.93,16.04,0.8,36.79,106.0
Zach Randolph,0,0,0,0,0,0
Emmanuel Mudiay,4.77,48.0,5.17,0.93,39.66,155.0
Danilo Gallinari,6.6,57.45,10.94,1.11,50.0,208.0
Thaddeus Young,0,0,0,0,0,0
Paul Millsap,0.9,45.45,7.69,0.92,38.46,150.0
Derrick Favors,0,0,0,0,0,0
Andre Drummond,0,0,0,0,0,0
Al Horford,0,0,0,0,0,0
Kevin Love,1.51,35.29,5.26,0.74,26.32,68.0
Giannis Antetokounmpo,2.5,29.63,17.14,0.57,28.57,22.0
Monta Ellis,6.72,38.51,14.77,0.68,29.55,42.0
Kentavious Caldwell-Pope,5.25,43.88,16.39,0.75,34.43,81.0
Tyreke Evans,6.81,36.96,17.24,0.66,31.03,33.0
Ish Smith,4.13,51.52,13.16,0.89,42.11,137.0
Nicolas Batum,12.14,41.45,6.47,0.91,38.13,148.0
Mike Conley,9.4,50.0,7.32,0.99,45.12,178.0
Jeff Teague,5.52,41.67,12.16,0.78,35.14,95.0
Rodney Hood,11.06,50.0,12.21,0.91,39.69,143.0
Kristaps Porzingis,0,0,0,0,0,0
Goran Dragic,5.81,38.18,10.61,0.74,37.88,73.0
Eric Gordon,6.65,47.3,13.33,0.87,37.78,125.0
Will Barton,7.01,39.39,16.28,0.76,33.72,82.0
D'Angelo Russell,4.53,47.92,12.5,0.88,32.14,130.0
Greg Monroe,0,0,0,0,0,0
Deron Williams,5.82,51.06,18.64,0.85,35.59,122.0
Jamal Crawford,8.76,42.76,14.71,0.82,40.2,112.0
Marcus Morris,3.34,38.89,20.0,0.73,32.5,61.0
Jabari Parker,1.79,33.33,10.0,0.6,30.0,25.0
Evan Fournier,8.65,48.78,11.88,0.94,41.58,157.0
JJ Redick,18.5,49.1,7.77,0.96,43.01,168.0
Zach LaVine,10.72,50.84,3.91,1.01,42.19,185.0
Tobias Harris,3.09,26.67,28.57,0.38,19.05,8.0
Devin Booker,7.23,35.42,8.54,0.68,30.49,44.0
Arron Afflalo,6.97,41.23,7.69,0.75,36.92,80.0
Markieff Morris,0,0,0,0,0,0
Jarrett Jack,4.66,45.0,13.04,0.78,39.13,93.0
Serge Ibaka,0,0,0,0,0,0
Jae Crowder,6.5,49.12,6.15,0.98,40.0,176.0
J.R. Smith,4.57,57.5,2.33,1.14,46.51,209.0
Wesley Matthews,6.57,36.44,6.15,0.72,27.69,60.0
Rajon Rondo,2.38,44.0,3.7,0.89,44.44,134.0
Alec Burks,7.66,45.83,11.76,0.88,47.06,131.0
Norris Cole,7.01,37.5,7.32,0.73,36.59,64.0
Al Jefferson,0,0,0,0,0,0
Chandler Parsons,4.96,40.63,17.5,0.68,30.0,41.0
Robert Covington,8.12,54.0,21.33,0.97,38.67,172.0
Joe Johnson,1.95,45.83,13.33,0.87,40.0,125.0
