PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,11.15,32.79,14.83,0.68,34.45,71.0
Stephen Curry,10.01,52.96,6.47,1.07,47.26,274.0
James Harden,24.17,43.37,10.25,0.93,41.52,216.0
Damian Lillard,17.24,45.96,5.5,1.01,46.18,259.0
Kevin Durant,14.91,48.82,9.89,0.99,46.52,248.0
Anthony Davis,8.69,35.38,8.87,0.68,34.68,69.0
LeBron James,19.07,41.07,7.34,0.85,40.68,171.0
Carmelo Anthony,23.69,45.28,7.12,0.95,47.33,234.0
Russell Westbrook,12.45,38.83,11.81,0.74,35.43,105.0
Paul George,14.0,37.08,11.11,0.81,38.15,146.0
CJ McCollum,11.35,45.93,8.21,0.87,40.51,185.0
DeMar DeRozan,16.15,39.82,6.76,0.92,46.28,213.0
John Wall,11.16,38.56,13.5,0.76,36.0,115.0
Klay Thompson,5.02,42.42,11.11,0.8,40.74,140.0
Blake Griffin,9.41,50.0,1.37,1.05,53.42,270.0
Brandon Knight,10.41,41.58,9.24,0.88,39.5,191.0
Isaiah Thomas,7.96,44.29,11.64,0.97,45.21,241.0
Kobe Bryant,19.91,28.85,3.75,0.71,33.33,85.0
Kyrie Irving,14.3,47.39,6.54,0.95,44.44,233.0
Kemba Walker,7.7,30.09,5.38,0.72,34.62,91.0
Dwyane Wade,10.98,37.24,9.88,0.72,36.05,87.0
Nikola Vucevic,7.15,51.92,4.55,1.03,52.27,265.0
Andrew Wiggins,10.23,38.04,6.21,0.85,43.5,171.0
Derrick Rose,9.73,43.2,12.7,0.82,40.48,155.0
Eric Bledsoe,13.13,37.12,11.24,0.8,39.33,135.0
Brook Lopez,6.58,42.5,6.06,0.93,46.46,219.0
Reggie Jackson,11.41,41.13,10.38,0.86,40.44,183.0
Kyle Lowry,9.76,44.96,11.95,0.93,43.4,222.0
Jimmy Butler,12.29,46.21,10.06,0.91,44.97,205.0
Kawhi Leonard,11.77,46.92,5.77,0.99,49.36,247.0
Chris Paul,15.25,44.21,5.91,0.91,40.45,209.0
Gordon Hayward,10.96,42.86,12.5,0.88,44.89,190.0
Dirk Nowitzki,4.64,50.0,6.56,1.07,54.1,273.0
Jahlil Okafor,18.98,45.03,9.63,0.87,45.45,184.0
Bradley Beal,5.95,51.02,10.34,1.02,46.55,260.0
Khris Middleton,11.13,48.46,8.7,0.96,47.83,239.0
Chris Bosh,13.38,50.96,4.65,1.12,54.26,278.0
Rudy Gay,15.4,37.11,10.36,0.75,36.27,106.0
Jrue Holiday,8.78,46.51,7.62,0.97,42.86,242.0
LaMarcus Aldridge,1.17,40.0,13.33,0.93,46.67,223.0
Karl-Anthony Towns,6.64,59.64,5.21,1.19,57.29,283.0
Ryan Anderson,9.25,32.1,4.85,0.82,41.75,154.0
Jordan Clarkson,9.98,30.43,7.58,0.6,28.79,40.0
Pau Gasol,5.83,37.04,10.67,0.81,44.0,151.0
Marc Gasol,5.56,45.45,9.62,0.88,44.23,194.0
Avery Bradley,3.89,36.25,6.52,0.7,34.78,79.0
Victor Oladipo,7.26,44.74,5.62,0.96,41.57,236.0
Zach Randolph,15.82,42.91,6.86,0.89,44.57,196.0
Emmanuel Mudiay,6.66,25.37,8.64,0.54,27.16,30.0
Danilo Gallinari,18.89,33.09,7.1,0.85,42.08,168.0
Thaddeus Young,8.35,42.13,7.14,0.81,39.8,144.0
Paul Millsap,7.86,37.5,14.16,0.74,39.82,104.0
Derrick Favors,2.54,50.0,11.54,0.88,46.15,194.0
Andre Drummond,3.6,33.33,13.21,0.62,35.85,54.0
Al Horford,3.29,41.18,15.0,0.73,35.0,92.0
Kevin Love,3.33,41.89,2.38,0.93,45.24,217.0
Giannis Antetokounmpo,15.49,40.72,11.06,0.82,41.01,158.0
Monta Ellis,7.33,38.75,9.38,0.76,37.5,116.0
