PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,6.99,55.77,5.34,1.11,59.54,192.0
Stephen Curry,1.59,50.0,15.63,0.94,43.75,79.0
James Harden,1.24,37.5,10.34,0.72,37.93,18.0
Damian Lillard,0.95,52.94,0.0,1.17,50.0,212.0
Kevin Durant,1.26,61.11,8.7,1.17,60.87,217.0
Anthony Davis,6.45,65.85,2.17,1.34,67.39,277.0
LeBron James,3.61,62.3,1.49,1.3,64.18,270.0
Carmelo Anthony,4.16,56.14,1.45,1.16,62.32,211.0
Russell Westbrook,2.99,37.76,4.92,0.85,44.26,55.0
Paul George,1.97,66.67,7.89,1.32,63.16,272.0
CJ McCollum,1.22,55.26,4.76,1.1,52.38,179.0
DeMar DeRozan,1.2,55.56,9.09,1.09,54.55,173.0
John Wall,1.0,31.25,0.0,0.61,27.78,5.0
Klay Thompson,1.18,61.11,5.26,1.21,52.63,238.0
Blake Griffin,3.61,56.0,7.14,1.11,53.57,187.0
Brandon Knight,1.05,45.0,8.33,0.83,41.67,49.0
Isaiah Thomas,0.93,59.09,11.76,1.24,58.82,250.0
Kobe Bryant,1.94,60.42,7.69,1.12,53.85,193.0
Kyrie Irving,1.4,35.71,33.33,0.67,33.33,11.0
Kemba Walker,1.3,61.11,4.55,1.32,63.64,273.0
Dwyane Wade,3.77,58.82,3.39,1.22,61.02,243.0
Nikola Vucevic,9.51,52.78,3.42,1.09,52.99,167.0
Andrew Wiggins,4.45,58.33,9.09,1.09,57.14,173.0
Derrick Rose,2.16,36.96,10.71,0.75,35.71,27.0
Eric Bledsoe,0,0,0,0,0,0
Brook Lopez,9.9,52.89,5.37,1.09,55.7,178.0
Reggie Jackson,1.31,42.5,0.0,0.9,42.86,67.0
Kyle Lowry,1.17,46.88,10.53,0.89,42.11,62.0
Jimmy Butler,2.69,57.58,0.0,1.22,62.16,242.0
Kawhi Leonard,3.47,53.95,4.35,1.13,56.52,197.0
Chris Paul,0.97,72.73,0.0,1.57,71.43,294.0
Gordon Hayward,1.99,54.17,6.25,1.13,59.38,195.0
Dirk Nowitzki,2.66,50.0,2.86,1.09,54.29,168.0
Jahlil Okafor,8.53,68.12,5.95,1.3,65.48,269.0
Bradley Beal,1.44,38.46,0.0,0.79,42.86,37.0
Khris Middleton,1.31,22.22,0.0,0.58,26.32,3.0
Chris Bosh,3.01,59.52,3.45,1.21,65.52,237.0
Rudy Gay,6.38,48.59,7.5,0.94,46.25,79.0
Jrue Holiday,1.34,38.46,12.5,0.75,37.5,27.0
LaMarcus Aldridge,9.84,70.41,4.76,1.41,71.43,290.0
Karl-Anthony Towns,11.55,64.96,7.78,1.28,62.87,263.0
Ryan Anderson,9.43,47.73,7.62,0.95,48.57,95.0
Jordan Clarkson,3.25,47.22,6.98,1.0,48.84,107.0
Pau Gasol,8.7,50.52,5.36,1.01,50.89,126.0
Marc Gasol,3.21,40.91,10.0,0.77,43.33,34.0
Avery Bradley,1.86,73.68,9.09,1.36,68.18,283.0
Victor Oladipo,1.88,52.63,8.7,1.0,52.17,107.0
Zach Randolph,11.66,58.33,2.33,1.18,62.02,222.0
Emmanuel Mudiay,1.4,42.86,11.76,0.76,41.18,33.0
Danilo Gallinari,3.51,50.0,5.88,1.06,50.0,152.0
Thaddeus Young,8.78,48.91,6.8,0.91,45.63,72.0
Paul Millsap,5.85,53.33,13.1,1.02,53.57,132.0
Derrick Favors,8.6,64.79,2.27,1.31,69.32,271.0
Andre Drummond,23.27,58.92,4.66,1.08,55.39,163.0
Al Horford,5.51,62.3,0.0,1.28,65.67,265.0
Kevin Love,5.63,38.18,7.04,0.89,43.66,59.0
Giannis Antetokounmpo,6.0,62.84,2.38,1.23,63.1,245.0
Monta Ellis,1.37,64.71,5.56,1.22,61.11,244.0
Kentavious Caldwell-Pope,3.44,56.94,5.0,1.1,55.0,182.0
Tyreke Evans,2.35,55.56,10.0,1.0,50.0,107.0
Ish Smith,1.3,40.0,8.33,0.75,41.67,27.0
Nicolas Batum,2.18,64.58,0.0,1.28,64.0,262.0
Mike Conley,1.38,62.5,0.0,1.33,58.33,275.0
Jeff Teague,0,0,0,0,0,0
Rodney Hood,1.6,61.11,5.26,1.16,57.89,209.0
Kristaps Porzingis,7.25,61.21,7.41,1.23,64.2,249.0
Goran Dragic,2.29,68.18,11.54,1.23,61.54,246.0
Eric Gordon,0,0,0,0,0,0
Will Barton,3.26,47.14,2.5,1.02,50.0,134.0
D'Angelo Russell,2.02,35.71,12.0,0.68,32.0,13.0
Greg Monroe,14.13,56.16,3.53,1.15,58.82,207.0
Deron Williams,0,0,0,0,0,0
Jamal Crawford,0.94,63.64,0.0,1.27,63.64,257.0
Marcus Morris,4.34,48.84,1.92,1.04,53.85,139.0
Jabari Parker,6.27,61.4,7.14,1.2,61.43,231.0
Evan Fournier,1.46,53.85,5.88,1.18,58.82,219.0
JJ Redick,0,0,0,0,0,0
Zach LaVine,1.42,92.86,5.88,1.82,88.24,296.0
Tobias Harris,4.34,53.33,5.56,1.17,55.56,212.0
Devin Booker,1.06,70.83,0.0,1.42,66.67,291.0
Arron Afflalo,0,0,0,0,0,0
Markieff Morris,4.8,41.67,11.11,0.74,37.04,26.0
Jarrett Jack,0,0,0,0,0,0
Serge Ibaka,6.9,62.5,8.45,1.18,57.75,224.0
Jae Crowder,3.5,56.25,5.71,1.09,51.43,168.0
J.R. Smith,0,0,0,0,0,0
Wesley Matthews,1.11,55.56,9.09,1.09,45.45,173.0
Rajon Rondo,2.46,50.0,14.29,0.89,46.43,61.0
Alec Burks,0,0,0,0,0,0
Norris Cole,0,0,0,0,0,0
Al Jefferson,5.79,41.38,2.94,0.82,44.12,45.0
Chandler Parsons,1.61,25.0,7.69,0.46,23.08,2.0
Robert Covington,3.9,52.94,0.0,1.11,55.56,188.0
Joe Johnson,1.43,25.0,9.09,0.64,36.36,7.0
Trevor Ariza,3.07,44.0,9.38,0.81,40.63,44.0
Darren Collison,1.0,50.0,30.0,1.0,50.0,107.0
DeMarre Carroll,4.33,46.15,0.0,1.0,50.0,107.0
Lou Williams,1.54,69.23,6.67,1.4,60.0,287.0
Julius Randle,10.39,52.53,3.51,1.1,53.51,180.0
Jeff Green,3.44,63.64,0.0,1.27,63.64,257.0
Michael Carter-Williams,2.94,40.0,4.35,0.74,39.13,25.0
Michael Beasley,7.17,64.71,0.0,1.28,66.67,261.0
Marcin Gortat,10.73,53.85,6.67,1.01,51.43,127.0
Luol Deng,6.92,64.81,1.59,1.35,66.67,279.0
Gary Harris,1.97,60.71,11.11,1.11,55.56,188.0
Draymond Green,7.05,46.84,0.0,0.97,50.0,103.0
Elfrid Payton,4.07,68.75,10.0,1.27,62.5,260.0
Jared Sullinger,12.51,54.9,5.69,1.08,56.91,164.0
George Hill,2.44,63.16,0.0,1.32,63.64,273.0
Trey Burke,0,0,0,0,0,0
CJ Miles,2.37,38.46,0.0,1.06,55.56,149.0
