PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,2.51,36.84,10.64,0.74,38.3,54.0
Stephen Curry,14.19,63.62,9.47,1.2,44.21,227.0
James Harden,3.42,50.0,6.25,1.04,40.0,173.0
Damian Lillard,5.59,50.0,5.66,1.0,40.57,151.0
Kevin Durant,14.15,51.42,11.2,0.97,44.02,144.0
Anthony Davis,6.52,52.53,5.38,1.05,51.61,187.0
LeBron James,2.1,48.65,5.13,0.92,38.46,123.0
Carmelo Anthony,3.98,54.76,3.03,1.08,50.0,198.0
Russell Westbrook,0.98,58.33,10.0,1.05,45.0,183.0
Paul George,16.02,51.18,9.39,1.01,41.1,165.0
CJ McCollum,7.97,49.2,7.3,0.93,37.96,129.0
DeMar DeRozan,13.58,40.63,8.03,0.84,41.77,92.0
John Wall,1.56,39.13,10.71,0.79,35.71,64.0
Klay Thompson,31.0,53.9,6.0,1.05,43.0,188.0
Blake Griffin,2.71,47.22,9.52,0.86,42.86,100.0
Brandon Knight,5.07,43.27,8.62,0.81,31.03,77.0
Isaiah Thomas,8.56,54.44,8.28,1.05,43.31,184.0
Kobe Bryant,7.23,47.75,3.09,0.96,40.21,138.0
Kyrie Irving,4.3,53.75,8.7,1.02,41.3,167.0
Kemba Walker,3.26,60.0,18.18,1.05,41.82,189.0
Dwyane Wade,5.55,50.67,6.9,1.01,50.57,164.0
Nikola Vucevic,1.54,55.56,5.26,1.05,52.63,185.0
Andrew Wiggins,14.5,42.79,10.76,0.82,42.23,85.0
Derrick Rose,1.31,43.33,0.0,0.88,47.06,109.0
Eric Bledsoe,4.42,33.33,20.0,0.63,33.33,30.0
Brook Lopez,1.26,33.33,15.79,0.74,36.84,51.0
Reggie Jackson,1.25,28.13,10.0,0.7,30.0,42.0
Kyle Lowry,6.14,43.6,4.0,0.89,35.0,112.0
Jimmy Butler,4.95,48.18,4.41,1.04,47.06,181.0
Kawhi Leonard,6.57,56.67,4.6,1.15,50.57,216.0
Chris Paul,0.9,35.0,23.08,0.54,23.08,14.0
Gordon Hayward,7.53,43.56,8.26,0.86,36.36,101.0
Dirk Nowitzki,8.6,48.13,1.77,0.96,47.79,140.0
Jahlil Okafor,0,0,0,0,0,0
Bradley Beal,15.2,48.45,8.11,0.91,40.54,117.0
Khris Middleton,11.83,50.0,8.77,0.98,42.69,146.0
Chris Bosh,7.47,56.14,6.94,1.18,56.94,224.0
Rudy Gay,5.91,41.67,5.41,0.81,39.19,78.0
Jrue Holiday,3.85,56.1,4.35,1.11,50.0,209.0
LaMarcus Aldridge,2.73,35.48,8.57,0.69,34.29,39.0
Karl-Anthony Towns,5.6,58.0,6.17,1.1,51.85,206.0
Ryan Anderson,10.23,54.76,5.26,1.06,41.23,192.0
Jordan Clarkson,5.74,47.86,3.95,0.97,38.16,145.0
Pau Gasol,1.71,63.16,9.09,1.14,59.09,213.0
Marc Gasol,1.39,45.45,15.38,0.77,38.46,62.0
Avery Bradley,14.62,46.58,4.62,0.91,39.31,118.0
Victor Oladipo,4.65,49.0,5.26,0.98,47.37,149.0
Zach Randolph,1.27,53.85,7.14,1.07,50.0,195.0
Emmanuel Mudiay,3.53,59.46,11.63,1.09,46.51,204.0
Danilo Gallinari,4.75,42.42,2.17,1.15,50.0,217.0
Thaddeus Young,1.19,50.0,14.29,0.93,50.0,126.0
Paul Millsap,3.2,36.84,13.04,0.67,32.61,36.0
Derrick Favors,0,0,0,0,0,0
Andre Drummond,0,0,0,0,0,0
Al Horford,3.53,43.9,2.33,0.88,32.56,110.0
Kevin Love,4.6,55.0,8.62,1.03,44.83,172.0
Giannis Antetokounmpo,1.07,30.77,6.67,0.6,33.33,21.0
Monta Ellis,5.65,42.37,10.81,0.84,39.19,89.0
Kentavious Caldwell-Pope,8.08,34.88,5.32,0.68,30.85,38.0
Tyreke Evans,0,0,0,0,0,0
Ish Smith,1.3,45.45,8.33,0.83,33.33,86.0
Nicolas Batum,15.98,55.36,4.92,1.11,42.62,210.0
Mike Conley,8.03,56.56,2.86,1.16,50.0,220.0
Jeff Teague,3.28,40.79,13.64,0.7,29.55,43.0
Rodney Hood,4.05,30.68,6.25,0.6,25.0,25.0
Kristaps Porzingis,7.51,41.89,2.38,0.89,41.67,113.0
Goran Dragic,3.79,47.22,16.28,0.81,37.21,79.0
Eric Gordon,11.08,47.76,5.33,0.95,40.0,132.0
Will Barton,3.18,50.0,10.26,1.0,35.9,151.0
D'Angelo Russell,2.91,41.18,2.78,0.81,36.11,73.0
Greg Monroe,1.08,36.36,7.69,0.85,38.46,97.0
Deron Williams,11.54,52.75,5.98,1.01,40.17,163.0
Jamal Crawford,3.35,42.42,12.82,0.79,35.9,66.0
Marcus Morris,4.84,41.67,3.45,0.84,32.76,96.0
Jabari Parker,2.42,51.92,3.7,1.0,48.15,151.0
Evan Fournier,12.59,58.0,9.52,1.07,46.26,197.0
JJ Redick,38.73,57.81,5.69,1.12,46.53,212.0
Zach LaVine,7.29,45.39,9.2,0.87,34.48,105.0
Tobias Harris,2.41,25.0,0.0,0.8,40.0,69.0
Devin Booker,13.32,46.3,3.97,0.95,42.38,136.0
Arron Afflalo,14.9,46.03,4.32,0.95,42.45,135.0
Markieff Morris,6.8,50.0,0.0,1.04,50.0,178.0
Jarrett Jack,2.83,25.0,14.29,0.43,21.43,6.0
Serge Ibaka,2.04,42.11,9.52,0.76,28.57,60.0
Jae Crowder,7.4,53.62,5.41,1.04,41.89,177.0
J.R. Smith,16.58,55.44,4.49,1.08,41.67,199.0
Wesley Matthews,11.92,50.0,9.32,0.95,38.14,134.0
Rajon Rondo,0,0,0,0,0,0
Alec Burks,0,0,0,0,0,0
Norris Cole,0,0,0,0,0,0
Al Jefferson,0,0,0,0,0,0
Chandler Parsons,9.06,44.7,8.22,0.82,38.36,83.0
Robert Covington,4.87,60.0,17.78,1.0,37.78,151.0
Joe Johnson,4.87,45.45,26.67,0.73,33.33,49.0
Trevor Ariza,8.36,55.26,9.2,1.02,39.08,168.0
Darren Collison,0,0,0,0,0,0
DeMarre Carroll,8.05,26.19,11.54,0.46,19.23,10.0
Lou Williams,8.82,47.1,10.47,0.97,39.53,141.0
Julius Randle,2.19,26.09,4.17,0.5,25.0,12.0
Jeff Green,5.81,45.95,5.0,0.93,40.0,124.0
Michael Carter-Williams,1.28,11.11,10.0,0.2,10.0,0.0
Michael Beasley,0,0,0,0,0,0
Marcin Gortat,0,0,0,0,0,0
Luol Deng,4.5,32.86,9.76,0.61,31.71,26.0
Gary Harris,7.68,53.33,11.43,0.97,38.57,143.0
Draymond Green,2.3,63.04,14.29,1.11,42.86,208.0
Elfrid Payton,1.93,23.33,15.79,0.37,15.79,4.0
Jared Sullinger,4.78,41.86,4.26,0.85,42.55,98.0
George Hill,9.21,62.16,8.43,1.16,44.58,219.0
Trey Burke,3.35,60.42,0.0,1.24,44.0,230.0
CJ Miles,18.71,51.6,6.34,1.01,40.14,166.0
Tony Parker,6.96,41.51,12.5,0.8,39.06,67.0
