PLAYER_NAME,Transition,Isolation,PRBallHandler,PRRollman,Postup,Spotup,Handoff,Cut,OffScreen,OffRebound
DeMarcus Cousins,12.64,11.15,1.17,14.83,19.36,16.43,2.51,5.23,2.51,6.99
Stephen Curry,20.11,10.01,26.18,0.75,0,9.06,4.73,5.97,14.19,1.59
James Harden,21.01,24.17,25.88,0,4.78,8.16,3.71,1.67,3.42,1.24
Damian Lillard,10.49,17.24,42.96,0,0,8.01,6.59,3.11,5.59,0.95
Kevin Durant,15.13,14.91,19.01,5.46,8.14,11.03,2.18,3.99,14.15,1.26
Anthony Davis,8.06,8.69,0,24.67,18.36,13.03,0.98,7.5,6.52,6.45
LeBron James,19.45,19.07,21.55,3.61,10.61,6.68,1.89,5.66,2.1,3.61
Carmelo Anthony,8.14,23.69,13.14,1.75,22.24,11.45,2.59,3.13,3.98,4.16
Russell Westbrook,23.28,12.45,35.39,0,9.31,6.91,2.3,1.86,0.98,2.99
Paul George,16.17,14.0,21.15,1.14,3.37,11.25,5.34,3.68,16.02,1.97
CJ McCollum,13.1,11.35,37.37,0,0,14.78,7.8,2.21,7.97,1.22
DeMar DeRozan,7.91,16.15,32.35,0,8.46,10.64,4.2,1.58,13.58,1.2
John Wall,23.55,11.16,40.23,0,0.89,12.83,2.51,0.89,1.56,1.0
Klay Thompson,17.54,5.02,7.13,0.87,3.66,17.05,3.6,8.43,31.0,1.18
Blake Griffin,11.08,9.41,5.67,21.01,21.26,13.27,0,5.41,2.71,3.61
Brandon Knight,12.86,10.41,42.69,0,0,14.0,7.44,2.36,5.07,1.05
Isaiah Thomas,22.79,7.96,30.97,0,0,13.3,9.32,1.74,8.56,0.93
Kobe Bryant,9.62,19.91,20.95,0.89,13.65,12.68,6.94,1.79,7.23,1.94
Kyrie Irving,13.08,14.3,43.55,0,1.87,10.65,4.3,1.31,4.3,1.4
Kemba Walker,13.8,7.7,46.71,0,0,13.97,5.98,1.95,3.26,1.3
Dwyane Wade,12.76,10.98,34.84,0,10.53,7.28,4.4,5.04,5.55,3.77
Nikola Vucevic,5.12,7.15,0.89,18.37,28.29,13.41,0.89,9.59,1.54,9.51
Andrew Wiggins,11.73,10.23,18.89,2.83,12.02,9.88,6.7,5.49,14.5,4.45
Derrick Rose,14.59,9.73,43.47,0,0,16.68,3.55,3.47,1.31,2.16
Eric Bledsoe,18.73,13.13,38.2,0,1.62,12.24,2.65,1.62,4.42,0
Brook Lopez,3.65,6.58,0,21.2,29.77,8.5,0.73,13.69,1.26,9.9
Reggie Jackson,13.22,11.41,55.86,0,0,8.17,2.06,1.06,1.25,1.31
Kyle Lowry,16.82,9.76,35.73,0.74,1.84,15.72,5.46,0.68,6.14,1.17
Jimmy Butler,12.15,12.29,31.71,0.87,5.67,10.62,5.53,9.16,4.95,2.69
Kawhi Leonard,12.83,11.77,13.66,1.06,12.98,23.47,6.42,4.3,6.57,3.47
Chris Paul,12.89,15.25,51.91,0,1.39,6.24,3.26,0,0.9,0.97
Gordon Hayward,13.57,10.96,24.41,0.87,2.05,19.49,11.52,3.86,7.53,1.99
Dirk Nowitzki,4.64,4.64,0,18.57,29.6,22.22,0.76,3.2,8.6,2.66
Jahlil Okafor,6.6,18.98,0,13.1,31.98,4.57,0,11.07,0,8.53
Bradley Beal,17.45,5.95,29.47,0,0,13.24,7.19,3.39,15.2,1.44
Khris Middleton,13.55,11.13,18.05,1.73,8.09,16.39,10.3,2.07,11.83,1.31
Chris Bosh,4.56,13.38,1.14,24.38,8.61,26.97,1.24,4.56,7.47,3.01
Rudy Gay,18.28,15.4,7.02,4.95,10.53,19.47,2.23,5.99,5.91,6.38
Jrue Holiday,10.45,8.78,51.67,0,1.42,8.61,5.6,2.01,3.85,1.34
LaMarcus Aldridge,4.84,1.17,0,20.16,33.67,15.63,0,8.98,2.73,9.84
Karl-Anthony Towns,7.33,6.64,0,24.76,17.36,11.06,0,8.02,5.6,11.55
Ryan Anderson,8.35,9.25,2.33,15.08,17.5,20.11,1.35,2.6,10.23,9.43
Jordan Clarkson,15.42,9.98,35.98,0,0.76,13.61,5.9,5.37,5.74,3.25
Pau Gasol,4.97,5.83,0,21.21,20.67,20.2,0,7.23,1.71,8.7
Marc Gasol,1.92,5.56,0,22.12,40.17,10.47,0,8.23,1.39,3.21
Avery Bradley,20.03,3.89,13.52,0,0,20.29,17.16,4.56,14.62,1.86
Victor Oladipo,17.86,7.26,32.46,0,0,17.54,8.65,4.65,4.65,1.88
Zach Randolph,3.07,15.82,0,9.67,36.17,10.04,0,6.24,1.27,11.66
Emmanuel Mudiay,15.28,6.66,42.97,0,2.79,14.95,4.77,2.88,3.53,1.4
Danilo Gallinari,9.91,18.89,11.97,4.02,8.46,21.26,6.6,5.37,4.75,3.51
Thaddeus Young,16.11,8.35,2.13,18.07,15.94,9.29,0,15.94,1.19,8.78
Paul Millsap,10.86,7.86,1.46,17.95,16.01,19.42,0.9,11.69,3.2,5.85
Derrick Favors,3.62,2.54,0,22.09,22.58,10.65,0,22.68,0,8.6
Andre Drummond,6.04,3.6,0,13.16,27.48,1.49,0,12.42,0,23.27
Al Horford,10.02,3.29,0,24.73,13.89,23.09,0,10.68,3.53,5.51
Kevin Love,9.04,3.33,0,15.31,24.58,26.33,1.51,4.28,4.6,5.63
Giannis Antetokounmpo,20.41,15.49,9.99,2.5,8.14,16.49,2.5,10.92,1.07,6.0
Monta Ellis,17.48,7.33,38.32,0,0,14.66,6.72,1.91,5.65,1.37
Kentavious Caldwell-Pope,22.18,4.99,22.36,0,0,25.54,5.25,3.18,8.08,3.44
Tyreke Evans,14.55,17.37,38.97,0,0,11.27,6.81,0,0,2.35
Ish Smith,16.61,10.73,45.67,0,0,15.22,4.13,0,1.3,1.3
Nicolas Batum,10.57,9.34,22.71,0,4.98,13.28,12.14,2.45,15.98,2.18
Mike Conley,11.35,6.42,43.35,0,0,12.5,9.4,2.64,8.03,1.38
Jeff Teague,17.38,13.94,40.64,0,0.97,10.29,5.52,1.57,3.28,0
Rodney Hood,7.77,8.7,29.31,0,2.45,28.55,11.06,2.03,4.05,1.6
