PLAYER_NAME,0-2 Feet - Very Tight,2-4 Feet - Tight,4-6 Feet - Open,6+ Feet - Wide Open
DeMarcus Cousins,0.28,0.35,0.18,0.2
Stephen Curry,0.13,0.34,0.37,0.16
James Harden,0.14,0.48,0.3,0.08
Damian Lillard,0.18,0.37,0.35,0.11
Kevin Durant,0.14,0.49,0.27,0.1
Anthony Davis,0.2,0.38,0.28,0.13
LeBron James,0.2,0.38,0.29,0.13
Carmelo Anthony,0.18,0.45,0.3,0.08
Russell Westbrook,0.2,0.38,0.28,0.14
Paul George,0.15,0.39,0.33,0.13
CJ McCollum,0.16,0.37,0.32,0.14
DeMar DeRozan,0.21,0.49,0.23,0.07
John Wall,0.12,0.34,0.36,0.18
Klay Thompson,0.1,0.37,0.35,0.18
Blake Griffin,0.18,0.23,0.29,0.3
Brandon Knight,0.13,0.33,0.35,0.19
Isaiah Thomas,0.21,0.44,0.27,0.08
Kobe Bryant,0.12,0.53,0.27,0.08
Kyrie Irving,0.17,0.42,0.26,0.15
Kemba Walker,0.16,0.38,0.33,0.12
Dwyane Wade,0.18,0.51,0.26,0.05
Nikola Vucevic,0.2,0.4,0.23,0.17
Andrew Wiggins,0.29,0.39,0.21,0.11
Derrick Rose,0.2,0.45,0.31,0.05
Eric Bledsoe,0.12,0.35,0.31,0.22
Brook Lopez,0.24,0.41,0.23,0.13
Reggie Jackson,0.2,0.43,0.28,0.09
Kyle Lowry,0.18,0.41,0.29,0.13
Jimmy Butler,0.21,0.42,0.27,0.11
Kawhi Leonard,0.15,0.35,0.35,0.14
Chris Paul,0.06,0.34,0.42,0.18
Gordon Hayward,0.15,0.32,0.32,0.21
Dirk Nowitzki,0.09,0.44,0.28,0.19
Jahlil Okafor,0.29,0.47,0.22,0.03
Bradley Beal,0.13,0.32,0.33,0.22
Khris Middleton,0.14,0.49,0.27,0.1
Chris Bosh,0.12,0.33,0.33,0.22
Rudy Gay,0.2,0.41,0.24,0.15
Jrue Holiday,0.2,0.39,0.29,0.12
LaMarcus Aldridge,0.19,0.36,0.21,0.24
Karl-Anthony Towns,0.24,0.31,0.26,0.19
Ryan Anderson,0.15,0.3,0.33,0.23
Jordan Clarkson,0.21,0.37,0.3,0.13
Pau Gasol,0.2,0.32,0.27,0.22
Marc Gasol,0.19,0.31,0.28,0.22
Avery Bradley,0.1,0.4,0.31,0.19
Victor Oladipo,0.2,0.29,0.32,0.19
Zach Randolph,0.28,0.36,0.25,0.12
Emmanuel Mudiay,0.15,0.39,0.31,0.16
Danilo Gallinari,0.13,0.38,0.36,0.12
Thaddeus Young,0.3,0.42,0.19,0.09
Paul Millsap,0.18,0.39,0.25,0.18
Derrick Favors,0.28,0.33,0.27,0.12
Andre Drummond,0.33,0.55,0.09,0.03
Al Horford,0.11,0.27,0.25,0.38
Kevin Love,0.13,0.27,0.3,0.3
Giannis Antetokounmpo,0.23,0.42,0.21,0.15
Monta Ellis,0.13,0.39,0.31,0.16
Kentavious Caldwell-Pope,0.17,0.35,0.3,0.18
Tyreke Evans,0.24,0.38,0.22,0.16
Ish Smith,0.16,0.43,0.27,0.14
Nicolas Batum,0.11,0.37,0.32,0.2
Mike Conley,0.15,0.31,0.33,0.21
Jeff Teague,0.17,0.35,0.25,0.23
Rodney Hood,0.2,0.33,0.32,0.15
Kristaps Porzingis,0.16,0.36,0.28,0.2
Goran Dragic,0.2,0.36,0.31,0.14
Eric Gordon,0.08,0.3,0.33,0.29
