PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,19.36,49.36,14.6,0.96,50.41,183.0
Stephen Curry,0,0,0,0,0,0
James Harden,4.78,42.05,10.71,0.91,43.75,159.0
Damian Lillard,0,0,0,0,0,0
Kevin Durant,8.14,60.87,8.05,1.23,61.74,222.0
Anthony Davis,18.36,35.94,11.83,0.78,40.84,81.0
LeBron James,10.61,47.77,12.69,0.89,45.18,151.0
Carmelo Anthony,22.24,42.96,9.49,0.92,47.7,166.0
Russell Westbrook,9.31,45.26,11.05,0.95,48.42,179.0
Paul George,3.37,26.19,18.46,0.63,33.85,36.0
CJ McCollum,0,0,0,0,0,0
DeMar DeRozan,8.46,37.72,10.32,0.85,43.87,123.0
John Wall,0.89,33.33,18.75,0.69,31.25,50.0
Klay Thompson,3.66,39.62,5.08,0.8,40.68,91.0
Blake Griffin,21.26,42.52,10.3,0.84,45.45,115.0
Brandon Knight,0,0,0,0,0,0
Isaiah Thomas,0,0,0,0,0,0
Kobe Bryant,13.65,40.63,4.37,0.85,43.17,125.0
Kyrie Irving,1.87,33.33,0.0,0.8,40.0,93.0
Kemba Walker,0,0,0,0,0,0
Dwyane Wade,10.53,41.04,7.88,0.85,43.64,126.0
Nikola Vucevic,28.29,50.18,10.63,0.93,47.7,169.0
Andrew Wiggins,12.02,48.28,10.1,1.0,51.92,189.0
Derrick Rose,0,0,0,0,0,0
Eric Bledsoe,1.62,33.33,9.09,0.55,27.27,21.0
Brook Lopez,29.77,50.62,16.07,0.95,47.54,177.0
Reggie Jackson,0,0,0,0,0,0
Kyle Lowry,1.84,30.43,10.0,0.73,36.67,67.0
Jimmy Butler,5.67,39.68,8.97,0.86,42.31,130.0
Kawhi Leonard,12.98,48.89,9.3,1.02,50.58,199.0
Chris Paul,1.39,52.94,0.0,1.2,60.0,219.0
Gordon Hayward,2.05,38.46,3.03,0.88,45.45,141.0
Dirk Nowitzki,29.6,46.47,6.94,1.02,50.13,200.0
Jahlil Okafor,31.98,46.86,15.87,0.85,43.17,122.0
Bradley Beal,0,0,0,0,0,0
Khris Middleton,8.09,44.79,12.82,0.85,41.88,127.0
Chris Bosh,8.61,40.98,13.25,0.84,43.37,116.0
Rudy Gay,10.53,49.04,10.61,0.95,49.24,181.0
Jrue Holiday,1.42,37.5,5.88,0.71,35.29,53.0
LaMarcus Aldridge,33.67,48.51,8.58,1.0,50.58,188.0
Karl-Anthony Towns,17.36,46.86,9.16,0.92,47.01,165.0
Ryan Anderson,17.5,49.68,9.23,1.01,50.26,197.0
Jordan Clarkson,0.76,28.57,20.0,0.6,30.0,28.0
Pau Gasol,20.67,40.49,13.53,0.8,40.23,98.0
Marc Gasol,40.17,41.3,11.97,0.89,44.68,148.0
Avery Bradley,0,0,0,0,0,0
Victor Oladipo,0,0,0,0,0,0
Zach Randolph,36.17,44.3,12.0,0.85,43.5,118.0
Emmanuel Mudiay,2.79,25.0,11.76,0.44,23.53,13.0
Danilo Gallinari,8.46,49.12,7.32,1.11,54.88,214.0
Thaddeus Young,15.94,50.0,10.7,0.93,46.52,168.0
Paul Millsap,16.01,51.83,11.74,1.04,52.17,204.0
Derrick Favors,22.58,44.32,10.39,0.86,44.59,128.0
Andre Drummond,27.48,39.58,8.4,0.73,38.02,60.0
Al Horford,13.89,47.01,14.2,0.89,43.79,145.0
Kevin Love,24.58,48.18,12.58,0.98,50.32,185.0
Giannis Antetokounmpo,8.14,48.72,23.68,0.8,40.35,92.0
Monta Ellis,0,0,0,0,0,0
Kentavious Caldwell-Pope,0,0,0,0,0,0
Tyreke Evans,0,0,0,0,0,0
Ish Smith,0,0,0,0,0,0
Nicolas Batum,4.98,41.03,21.05,0.74,38.6,70.0
Mike Conley,0,0,0,0,0,0
Jeff Teague,0.97,71.43,30.77,1.08,53.85,208.0
Rodney Hood,2.45,50.0,20.69,0.97,48.28,184.0
Kristaps Porzingis,15.03,40.46,12.5,0.82,41.07,100.0
Goran Dragic,0,0,0,0,0,0
Eric Gordon,0,0,0,0,0,0
Will Barton,0.82,14.29,30.0,0.2,10.0,1.0
D'Angelo Russell,6.15,42.31,9.21,0.93,48.68,171.0
Greg Monroe,33.83,45.34,12.78,0.86,44.47,133.0
Deron Williams,8.58,42.86,13.79,0.86,44.83,132.0
Jamal Crawford,0,0,0,0,0,0
Marcus Morris,13.76,46.62,4.24,0.99,52.12,186.0
Jabari Parker,7.08,48.28,8.86,1.0,53.16,189.0
Evan Fournier,0,0,0,0,0,0
JJ Redick,0,0,0,0,0,0
Zach LaVine,0,0,0,0,0,0
Tobias Harris,8.43,56.67,8.57,1.11,54.29,215.0
Devin Booker,3.26,50.0,2.7,1.11,59.46,213.0
Arron Afflalo,16.93,53.08,11.39,1.03,50.0,201.0
Markieff Morris,15.86,47.73,14.29,0.84,44.64,112.0
Jarrett Jack,0,0,0,0,0,0
Serge Ibaka,3.01,47.83,12.9,1.0,48.39,189.0
Jae Crowder,3.5,50.0,14.29,0.94,51.43,175.0
J.R. Smith,1.28,22.22,16.67,0.42,25.0,10.0
Wesley Matthews,9.9,44.3,10.2,0.9,44.9,154.0
Rajon Rondo,0,0,0,0,0,0
Alec Burks,0,0,0,0,0,0
Norris Cole,0,0,0,0,0,0
Al Jefferson,51.79,44.62,6.58,0.88,45.39,142.0
Chandler Parsons,3.1,52.63,20.0,0.84,44.0,113.0
Robert Covington,0,0,0,0,0,0
Joe Johnson,10.71,54.84,0.0,1.15,57.58,216.0
Trevor Ariza,0,0,0,0,0,0
Darren Collison,0,0,0,0,0,0
DeMarre Carroll,0,0,0,0,0,0
Lou Williams,0,0,0,0,0,0
Julius Randle,11.94,32.26,16.79,0.66,34.35,41.0
Jeff Green,12.81,35.48,12.2,0.73,39.02,66.0
Michael Carter-Williams,4.74,24.0,24.32,0.43,24.32,12.0
Michael Beasley,5.58,38.46,7.14,0.79,35.71,84.0
Marcin Gortat,15.63,46.77,9.8,0.9,45.75,153.0
Luol Deng,6.7,33.33,13.11,0.64,34.43,39.0
Gary Harris,0,0,0,0,0,0
Draymond Green,8.7,33.9,23.58,0.67,37.74,44.0
Elfrid Payton,0,0,0,0,0,0
Jared Sullinger,16.28,41.27,10.63,0.82,41.88,105.0
George Hill,1.22,37.5,18.18,0.73,36.36,62.0
Trey Burke,0,0,0,0,0,0
CJ Miles,0,0,0,0,0,0
Tony Parker,0,0,0,0,0,0
Mirza Teletovic,13.46,44.05,13.6,0.91,47.2,160.0
Dennis Schroder,0,0,0,0,0,0
Kent Bazemore,0,0,0,0,0,0
Otto Porter,1.31,33.33,9.09,0.64,36.36,37.0
Jose Juan Barea,0,0,0,0,0,0
Harrison Barnes,12.7,47.5,9.47,0.91,45.26,157.0
Bojan Bogdanovic,7.16,35.42,16.67,0.71,34.85,56.0
Isaiah Canaan,0,0,0,0,0,0
TJ Warren,0,0,0,0,0,0
Marco Belinelli,0,0,0,0,0,0
Kenneth Faried,11.55,49.32,12.77,0.94,47.87,172.0
Evan Turner,10.51,48.84,8.57,0.99,49.52,187.0
Jeremy Lin,0,0,0,0,0,0
Hassan Whiteside,21.92,45.34,18.1,0.79,38.57,84.0
Nikola Mirotic,11.13,40.32,11.36,0.83,44.32,106.0
Marvin Williams,4.34,58.06,7.89,1.16,55.26,217.0
Matt Barnes,2.3,25.0,25.0,0.45,25.0,14.0
Dion Waiters,0,0,0,0,0,0
Omri Casspi,1.26,50.0,10.0,1.2,60.0,219.0
Ersan Ilyasova,6.99,12.5,23.08,0.38,23.08,6.0
Jonas Valanciunas,27.43,47.68,15.38,0.87,44.1,134.0
Marcus Thornton,0,0,0,0,0,0
Myles Turner,21.95,42.28,8.45,0.85,41.55,119.0
Hollis Thompson,0,0,0,0,0,0
Al-Farouq Aminu,2.11,36.36,42.11,0.42,21.05,11.0
Nerlens Noel,10.21,40.0,19.54,0.68,37.93,46.0
Sean Kilpatrick,0,0,0,0,0,0
Enes Kanter,18.96,48.44,16.29,0.89,44.94,147.0
Marcus Smart,6.15,38.89,7.14,0.81,40.48,99.0
Terrence Ross,0,0,0,0,0,0
Raymond Felton,0,0,0,0,0,0
Gerald Green,2.84,83.33,0.0,1.74,84.21,223.0
Dwight Howard,30.49,47.55,16.5,0.82,43.77,101.0
Jerryd Bayless,0,0,0,0,0,0
Patrick Beverley,0,0,0,0,0,0
Allen Crabbe,0,0,0,0,0,0
Shabazz Muhammad,9.87,40.98,7.06,0.95,50.59,180.0
Stanley Johnson,4.35,30.43,21.21,0.58,30.3,26.0
Gary Neal,0,0,0,0,0,0
Courtney Lee,0,0,0,0,0,0
Robin Lopez,29.16,50.0,17.72,0.89,45.28,152.0
Kelly Olynyk,7.31,51.52,18.0,0.92,48.0,164.0
Alex Len,29.55,35.15,20.16,0.69,36.43,49.0
Shelvin Mack,0,0,0,0,0,0
Doug McDermott,2.91,42.11,0.0,0.9,47.62,156.0
Luis Scola,15.46,41.86,17.43,0.72,36.7,59.0
Jameer Nelson,0,0,0,0,0,0
O.J. Mayo,2.44,11.11,0.0,0.4,20.0,8.0
Jerami Grant,5.7,35.71,10.2,0.88,48.98,140.0
Jeremy Lamb,0,0,0,0,0,0
Ricky Rubio,0,0,0,0,0,0
Austin Rivers,0,0,0,0,0,0
Kyle Korver,0,0,0,0,0,0
Rodney Stuckey,0,0,0,0,0,0
Patty Mills,0,0,0,0,0,0
Jusuf Nurkic,31.86,33.75,15.74,0.64,33.33,38.0
Kevin Martin,4.13,35.71,11.11,0.78,38.89,78.0
Jordan Hill,24.11,45.65,10.06,0.82,43.2,102.0
Nikola Jokic,19.85,46.67,12.1,0.94,46.5,173.0
Aaron Gordon,4.26,36.36,16.13,0.71,38.71,55.0
Manu Ginobili,0,0,0,0,0,0
Nik Stauskas,0,0,0,0,0,0
Wayne Ellington,0,0,0,0,0,0
Gerald Henderson,7.81,37.14,13.46,0.85,44.23,120.0
Mo Williams,0,0,0,0,0,0
Archie Goodwin,0,0,0,0,0,0
Tony Allen,2.5,30.77,13.33,0.6,26.67,28.0
Terrence Jones,7.92,36.67,8.11,0.78,37.84,83.0
Mario Chalmers,0,0,0,0,0,0
Cory Joseph,0,0,0,0,0,0
Tim Duncan,25.94,42.98,9.93,0.86,44.37,131.0
Toney Douglas,0,0,0,0,0,0
Ramon Sessions,0,0,0,0,0,0
Meyers Leonard,5.84,54.17,19.35,0.87,45.16,137.0
Langston Galloway,0,0,0,0,0,0
PJ Tucker,8.45,26.53,17.19,0.52,26.56,18.0
Danny Green,0,0,0,0,0,0
Gorgui Dieng,15.68,44.44,15.38,0.9,46.15,155.0
Derrick Williams,9.56,38.89,5.63,0.93,47.89,170.0
Bobby Portis,16.47,40.0,18.82,0.78,38.82,77.0
Darrell Arthur,7.96,48.78,4.35,0.96,47.83,182.0
Jon Leuer,7.53,47.06,11.36,0.89,45.45,143.0
Carl Landry,20.45,56.1,12.5,1.08,57.81,209.0
Nick Young,0,0,0,0,0,0
Lance Stephenson,5.13,37.5,10.0,0.75,40.0,73.0
Taj Gibson,24.34,50.82,13.46,0.89,45.51,150.0
Aaron Brooks,0,0,0,0,0,0
Nene,31.01,52.21,16.57,0.89,46.75,145.0
Tyler Johnson,0,0,0,0,0,0
Matthew Dellavedova,0,0,0,0,0,0
Corey Brewer,0,0,0,0,0,0
Ben McLemore,0,0,0,0,0,0
E'Twaun Moore,2.42,44.44,18.18,0.73,36.36,62.0
DeAndre Jordan,7.18,46.51,12.5,0.78,43.75,80.0
Jason Smith,2.38,18.18,14.29,0.36,21.43,5.0
Frank Kaminsky,10.8,34.0,11.43,0.79,41.43,84.0
Lance Thomas,5.34,61.11,15.38,1.23,57.69,221.0
Wesley Johnson,0,0,0,0,0,0
Joffrey Lauvergne,14.13,55.77,15.15,1.03,50.0,203.0
Shane Larkin,0,0,0,0,0,0
Josh Smith,4.65,20.0,40.0,0.3,20.0,3.0
Marreese Speights,8.6,38.89,16.33,0.78,38.78,76.0
JaMychal Green,13.88,39.34,13.64,0.84,44.32,114.0
Garrett Temple,0,0,0,0,0,0
Brandon Jennings,0,0,0,0,0,0
Ian Mahinmi,10.75,44.44,12.86,0.8,42.86,93.0
Mason Plumlee,8.64,49.06,15.49,0.87,45.07,139.0
Jose Calderon,0,0,0,0,0,0
Patrick Patterson,2.45,36.36,21.43,0.57,28.57,23.0
Zaza Pachulia,4.19,47.37,23.33,0.87,43.33,134.0
PJ Hairston,0,0,0,0,0,0
David Lee,11.11,47.06,9.52,0.95,47.62,178.0
Luke Babbitt,0,0,0,0,0,0
Mike Dunleavy,0,0,0,0,0,0
Andrea Bargnani,4.28,33.33,7.14,1.0,50.0,189.0
Jared Dudley,0,0,0,0,0,0
Greivis Vasquez,0,0,0,0,0,0
Cody Zeller,2.64,40.0,0.0,0.94,43.75,174.0
Justise Winslow,3.44,25.0,14.29,0.48,28.57,15.0
