PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,1.17,50.0,13.64,1.0,50.0,270.0
Stephen Curry,26.18,61.07,14.07,1.11,44.3,283.0
James Harden,25.88,49.19,21.45,0.97,44.55,265.0
Damian Lillard,42.96,47.77,13.62,0.92,40.86,246.0
Kevin Durant,19.01,51.28,22.7,0.93,40.52,255.0
Anthony Davis,0,0,0,0,0,0
LeBron James,21.55,46.94,13.75,0.88,42.25,228.0
Carmelo Anthony,13.14,43.57,14.68,0.8,37.16,166.0
Russell Westbrook,35.39,47.71,19.94,0.85,40.58,205.0
Paul George,21.15,45.71,17.16,0.85,39.22,208.0
CJ McCollum,37.37,50.38,13.71,0.92,42.99,248.0
DeMar DeRozan,32.35,48.31,10.79,0.99,49.75,269.0
John Wall,40.23,42.32,17.89,0.73,35.37,111.0
Klay Thompson,7.13,50.0,13.91,0.93,40.87,252.0
Blake Griffin,5.67,59.38,13.64,1.18,56.82,287.0
Brandon Knight,42.69,41.08,18.03,0.74,33.61,114.0
Isaiah Thomas,30.97,42.6,14.61,0.86,40.85,211.0
Kobe Bryant,20.95,45.85,15.3,0.84,36.65,191.0
Kyrie Irving,43.55,48.96,13.52,0.89,41.63,233.0
Kemba Walker,46.71,46.18,10.9,0.89,41.83,234.0
Dwyane Wade,34.84,44.21,14.84,0.85,43.41,201.0
Nikola Vucevic,0.89,33.33,18.18,0.55,27.27,32.0
Andrew Wiggins,18.89,40.57,11.31,0.85,42.2,204.0
Derrick Rose,43.47,44.85,12.26,0.84,41.39,198.0
Eric Bledsoe,38.2,52.63,17.76,0.97,44.02,266.0
Brook Lopez,0,0,0,0,0,0
Reggie Jackson,55.86,47.62,14.17,0.88,41.29,224.0
Kyle Lowry,35.73,45.98,16.15,0.86,40.21,214.0
Jimmy Butler,31.71,42.37,11.7,0.89,43.81,235.0
Kawhi Leonard,13.66,51.71,11.6,1.02,45.86,276.0
Chris Paul,51.91,50.33,12.55,0.94,44.46,258.0
Gordon Hayward,24.41,41.7,17.35,0.82,39.8,185.0
Dirk Nowitzki,0,0,0,0,0,0
Jahlil Okafor,0,0,0,0,0,0
Bradley Beal,29.47,46.09,15.68,0.81,37.28,173.0
Khris Middleton,18.05,44.22,18.39,0.78,37.55,150.0
Chris Bosh,1.14,37.5,9.09,0.91,45.45,243.0
Rudy Gay,7.02,56.82,15.91,1.03,50.0,277.0
Jrue Holiday,51.67,45.61,12.62,0.87,40.78,218.0
LaMarcus Aldridge,0,0,0,0,0,0
