PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,14.83,48.62,8.27,0.98,48.92,99.0
Stephen Curry,0.75,53.85,13.33,0.93,33.33,72.0
James Harden,0,0,0,0,0,0
Damian Lillard,0,0,0,0,0,0
Kevin Durant,5.46,55.42,7.0,1.08,51.0,145.0
Anthony Davis,24.67,52.2,4.55,1.06,51.99,138.0
LeBron James,3.61,71.43,5.97,1.36,67.16,209.0
Carmelo Anthony,1.75,41.67,0.0,0.97,48.28,93.0
Russell Westbrook,0,0,0,0,0,0
Paul George,1.14,47.5,4.55,1.0,36.36,106.0
CJ McCollum,0,0,0,0,0,0
DeMar DeRozan,0,0,0,0,0,0
John Wall,0,0,0,0,0,0
Klay Thompson,0.87,38.46,7.14,0.71,28.57,19.0
Blake Griffin,21.01,44.93,4.29,0.88,45.4,54.0
Brandon Knight,0,0,0,0,0,0
Isaiah Thomas,0,0,0,0,0,0
Kobe Bryant,0.89,45.45,8.33,0.83,33.33,38.0
Kyrie Irving,0,0,0,0,0,0
Kemba Walker,0,0,0,0,0,0
Dwyane Wade,0,0,0,0,0,0
Nikola Vucevic,18.37,49.5,9.29,0.93,46.02,73.0
Andrew Wiggins,2.83,46.15,6.12,1.04,46.94,131.0
Derrick Rose,0,0,0,0,0,0
Eric Bledsoe,0,0,0,0,0,0
Brook Lopez,21.2,49.1,6.27,0.99,48.9,102.0
Reggie Jackson,0,0,0,0,0,0
Kyle Lowry,0.74,68.18,0.0,1.42,58.33,214.0
Jimmy Butler,0.87,54.55,0.0,1.17,58.33,182.0
Kawhi Leonard,1.06,65.38,0.0,1.21,57.14,190.0
Chris Paul,0,0,0,0,0,0
Gordon Hayward,0.87,90.91,0.0,1.93,78.57,219.0
Dirk Nowitzki,18.57,52.04,4.92,1.03,43.85,123.0
Jahlil Okafor,13.1,53.7,8.53,1.02,51.94,120.0
Bradley Beal,0,0,0,0,0,0
Khris Middleton,1.73,37.5,0.0,0.84,36.0,41.0
Chris Bosh,24.38,54.1,5.11,1.11,50.64,160.0
Rudy Gay,4.95,39.29,3.23,0.82,38.71,33.0
Jrue Holiday,0,0,0,0,0,0
LaMarcus Aldridge,20.16,45.25,6.59,0.9,45.74,62.0
Karl-Anthony Towns,24.76,48.52,8.66,0.95,46.65,81.0
Ryan Anderson,15.08,51.43,5.95,1.07,45.83,139.0
Jordan Clarkson,0,0,0,0,0,0
Pau Gasol,21.21,49.78,6.23,0.99,50.92,104.0
Marc Gasol,22.12,53.71,6.76,1.09,53.62,151.0
Avery Bradley,0,0,0,0,0,0
Victor Oladipo,0,0,0,0,0,0
Zach Randolph,9.67,47.31,5.61,0.96,47.66,89.0
Emmanuel Mudiay,0,0,0,0,0,0
Danilo Gallinari,4.02,56.9,2.56,1.26,58.97,196.0
Thaddeus Young,18.07,56.18,8.49,1.04,51.89,134.0
Paul Millsap,17.95,50.24,9.3,0.97,43.8,96.0
Derrick Favors,22.09,54.89,6.64,1.11,55.31,159.0
Andre Drummond,13.16,62.34,6.19,1.1,57.73,157.0
Al Horford,24.73,57.09,3.99,1.13,53.82,172.0
Kevin Love,15.31,47.8,6.22,0.95,43.52,82.0
Giannis Antetokounmpo,2.5,44.64,11.43,0.83,40.0,35.0
Monta Ellis,0,0,0,0,0,0
Kentavious Caldwell-Pope,0,0,0,0,0,0
Tyreke Evans,0,0,0,0,0,0
Ish Smith,0,0,0,0,0,0
Nicolas Batum,0,0,0,0,0,0
Mike Conley,0,0,0,0,0,0
Jeff Teague,0,0,0,0,0,0
Rodney Hood,0,0,0,0,0,0
Kristaps Porzingis,13.69,58.66,9.15,1.07,47.71,141.0
Goran Dragic,0,0,0,0,0,0
Eric Gordon,0,0,0,0,0,0
Will Barton,0,0,0,0,0,0
D'Angelo Russell,0,0,0,0,0,0
Greg Monroe,10.81,59.8,13.08,1.07,53.85,140.0
Deron Williams,0,0,0,0,0,0
