PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
DeMarcus Cousins,1.6,1.4,9.2,4.3,8.6,0.5
Stephen Curry,2.1,0.2,4.6,0.9,1.7,0.53
James Harden,1.7,0.6,5.3,1.9,3.4,0.56
Damian Lillard,0.9,0.4,3.4,1.0,1.7,0.58
Kevin Durant,1.0,1.2,7.6,1.5,3.0,0.51
Anthony Davis,1.3,2.0,8.1,2.9,6.1,0.48
LeBron James,1.4,0.6,6.0,1.0,2.0,0.52
Carmelo Anthony,0.9,0.5,6.4,1.2,2.2,0.54
Russell Westbrook,2.0,0.3,6.0,1.2,2.0,0.57
Paul George,1.9,0.4,6.0,1.6,2.9,0.54
CJ McCollum,1.2,0.3,2.7,1.1,2.0,0.55
DeMar DeRozan,1.0,0.3,3.6,1.1,1.7,0.63
John Wall,1.9,0.8,4.4,1.2,1.9,0.61
Klay Thompson,0.8,0.6,3.4,1.5,2.8,0.54
Blake Griffin,0.8,0.5,6.9,2.5,4.4,0.57
Brandon Knight,1.2,0.4,3.2,0.9,1.4,0.62
Isaiah Thomas,1.1,0.1,2.4,0.7,1.2,0.6
Kobe Bryant,0.9,0.2,3.1,0.7,1.1,0.64
Kyrie Irving,1.1,0.3,2.1,1.0,1.9,0.55
Kemba Walker,1.6,0.5,3.7,1.4,2.5,0.57
Dwyane Wade,1.1,0.6,3.0,0.9,1.6,0.56
Nikola Vucevic,0.8,1.0,6.1,4.4,8.2,0.54
Andrew Wiggins,1.0,0.6,2.3,1.4,2.6,0.54
Derrick Rose,0.7,0.2,2.7,1.0,1.8,0.59
Eric Bledsoe,2.0,0.6,3.5,1.2,2.5,0.47
Brook Lopez,0.8,1.7,5.1,4.6,9.7,0.47
Reggie Jackson,0.7,0.1,2.5,1.6,2.5,0.65
Kyle Lowry,2.1,0.4,4.0,1.5,2.3,0.66
Jimmy Butler,1.6,0.6,4.2,1.9,3.5,0.53
Kawhi Leonard,1.8,1.0,5.5,1.1,2.4,0.45
Chris Paul,2.1,0.2,3.7,1.0,1.8,0.55
Gordon Hayward,1.2,0.3,4.2,0.9,1.5,0.56
Dirk Nowitzki,0.7,0.7,5.8,3.4,6.6,0.52
Jahlil Okafor,0.4,1.2,4.7,4.0,8.0,0.5
Bradley Beal,1.0,0.2,2.7,1.1,1.8,0.6
Khris Middleton,1.7,0.2,3.3,1.2,2.0,0.59
Chris Bosh,0.7,0.6,6.5,2.6,5.2,0.51
Rudy Gay,1.4,0.7,5.0,2.0,3.5,0.55
Jrue Holiday,1.4,0.3,2.6,1.3,2.1,0.6
LaMarcus Aldridge,0.5,1.1,6.2,2.9,5.9,0.48
Karl-Anthony Towns,0.7,1.7,7.7,4.4,8.9,0.5
Ryan Anderson,0.6,0.4,4.0,2.6,4.6,0.57
Jordan Clarkson,1.1,0.1,2.8,1.3,2.0,0.63
Pau Gasol,0.6,2.0,8.9,4.9,10.7,0.46
Marc Gasol,1.0,1.3,5.8,3.2,7.0,0.46
Avery Bradley,1.5,0.3,2.3,0.8,1.5,0.52
Victor Oladipo,1.6,0.8,4.1,1.5,2.8,0.53
Zach Randolph,0.6,0.2,5.1,3.3,5.6,0.58
Emmanuel Mudiay,1.0,0.5,2.9,1.3,2.5,0.53
Danilo Gallinari,0.8,0.4,4.3,1.4,2.6,0.54
Thaddeus Young,1.5,0.5,6.6,2.8,5.2,0.54
Paul Millsap,1.8,1.7,6.6,4.0,8.1,0.49
Derrick Favors,1.2,1.5,5.4,3.5,7.4,0.48
Andre Drummond,1.5,1.4,9.9,4.4,8.5,0.53
Al Horford,0.8,1.5,5.5,4.1,8.3,0.49
Kevin Love,0.8,0.5,8.0,3.5,6.5,0.54
Giannis Antetokounmpo,1.2,1.4,6.2,2.5,5.1,0.5
Monta Ellis,1.9,0.5,2.8,0.7,1.3,0.53
Kentavious Caldwell-Pope,1.4,0.2,2.8,0.9,1.6,0.61
Tyreke Evans,1.3,0.3,4.4,1.1,2.0,0.53
Ish Smith,1.1,0.3,3.4,1.6,2.6,0.61
Nicolas Batum,0.9,0.6,5.3,1.6,2.8,0.57
Mike Conley,1.2,0.3,2.5,1.2,2.0,0.58
Jeff Teague,1.2,0.3,2.3,0.7,1.1,0.63
Rodney Hood,0.9,0.2,2.9,1.0,1.8,0.55
Kristaps Porzingis,0.7,1.9,5.5,3.3,7.0,0.48
Goran Dragic,1.0,0.2,3.1,0.9,1.8,0.51
Eric Gordon,1.0,0.3,2.0,0.8,1.4,0.58
Will Barton,0.9,0.5,5.1,1.6,3.0,0.55
D'Angelo Russell,1.2,0.2,2.8,1.2,2.0,0.62
Greg Monroe,0.9,0.8,6.1,3.9,7.6,0.52
Deron Williams,0.9,0.2,2.6,0.9,1.6,0.59
Jamal Crawford,0.7,0.2,1.6,0.7,1.1,0.67
Marcus Morris,0.8,0.3,3.9,1.4,2.2,0.63
Jabari Parker,0.9,0.4,3.6,2.1,3.8,0.56
Evan Fournier,1.2,0.0,2.4,1.3,2.1,0.6
JJ Redick,0.6,0.1,1.7,0.7,1.4,0.5
Zach LaVine,0.8,0.2,2.5,0.7,1.3,0.59
Tobias Harris,0.9,0.5,5.4,1.8,3.5,0.52
Devin Booker,0.6,0.3,2.1,1.0,1.7,0.57
Arron Afflalo,0.4,0.1,3.4,0.7,1.2,0.59
Markieff Morris,0.9,0.5,4.4,1.6,3.0,0.54
Jarrett Jack,1.1,0.2,4.0,0.8,1.3,0.61
Serge Ibaka,0.5,1.9,5.0,3.3,7.6,0.44
Jae Crowder,1.7,0.5,4.2,1.7,2.6,0.63
J.R. Smith,1.1,0.3,2.3,0.6,1.2,0.49
Wesley Matthews,1.0,0.2,2.7,0.9,1.6,0.6
Rajon Rondo,2.0,0.1,5.0,0.9,1.5,0.62
Alec Burks,0.6,0.1,3.0,1.4,2.2,0.64
Norris Cole,0.8,0.1,3.1,0.7,1.0,0.68
Al Jefferson,0.6,0.9,5.2,3.0,5.4,0.55
Chandler Parsons,0.8,0.3,4.2,0.8,1.6,0.5
Robert Covington,1.6,0.6,5.3,2.2,3.9,0.56
Joe Johnson,0.8,0.0,3.0,0.8,1.6,0.53
Trevor Ariza,2.0,0.3,3.7,1.1,2.1,0.53
Darren Collison,1.0,0.0,1.9,0.6,0.8,0.7
DeMarre Carroll,1.7,0.2,3.5,1.6,2.4,0.66
Lou Williams,0.9,0.3,2.1,0.8,1.4,0.59
Julius Randle,0.7,0.4,8.1,2.6,4.7,0.56
Jeff Green,0.7,0.5,3.2,1.7,3.2,0.53
Michael Carter-Williams,1.5,0.8,4.2,1.4,2.5,0.55
Michael Beasley,0.6,0.5,3.5,1.8,3.5,0.51
Marcin Gortat,0.6,1.3,6.9,4.0,7.9,0.51
Luol Deng,1.0,0.4,4.5,2.2,4.0,0.56
Gary Harris,1.3,0.2,2.2,1.0,1.8,0.58
Draymond Green,1.5,1.4,7.8,3.0,6.4,0.47
Elfrid Payton,1.2,0.3,2.5,1.3,2.1,0.64
Jared Sullinger,0.9,0.6,6.0,3.1,5.7,0.54
George Hill,1.1,0.2,3.2,0.9,1.6,0.55
Trey Burke,0.5,0.1,1.5,0.7,1.1,0.63
CJ Miles,0.8,0.5,2.3,1.1,2.3,0.49
Tony Parker,0.8,0.2,2.2,0.8,1.2,0.65
Mirza Teletovic,0.4,0.3,3.1,2.2,3.9,0.55
Dennis Schroder,0.9,0.1,2.2,0.5,1.2,0.45
Kent Bazemore,1.3,0.5,4.7,1.1,2.0,0.55
Otto Porter,1.4,0.4,3.9,1.3,2.3,0.56
Jose Juan Barea,0.4,0.0,1.7,0.4,0.7,0.57
Harrison Barnes,0.6,0.2,3.8,2.0,3.3,0.59
Bojan Bogdanovic,0.4,0.1,2.8,1.4,2.1,0.65
Isaiah Canaan,0.7,0.2,2.0,0.7,1.3,0.58
TJ Warren,0.8,0.3,1.9,0.9,1.7,0.53
Marco Belinelli,0.6,0.0,1.6,0.8,1.2,0.63
Kenneth Faried,0.5,0.9,5.2,3.0,5.3,0.57
Evan Turner,1.0,0.4,4.3,1.6,3.1,0.53
Jeremy Lin,0.7,0.5,2.7,1.1,2.0,0.56
Hassan Whiteside,0.6,3.7,8.6,4.9,10.5,0.47
