PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
DeMarcus Cousins,0.22,0.17,0.04,0.17,0.21,0.06,0.16
Stephen Curry,0.17,0.24,0.35,0.04,0.05,0.02,0.56
James Harden,0.25,0.13,0.29,0.01,0.01,0.03,0.41
Damian Lillard,0.31,0.16,0.32,0.01,0.02,0.0,0.41
Kevin Durant,0.15,0.21,0.3,0.05,0.07,0.08,0.35
Anthony Davis,0.06,0.21,0.11,0.19,0.21,0.14,0.1
LeBron James,0.28,0.07,0.17,0.1,0.11,0.04,0.2
Carmelo Anthony,0.08,0.21,0.31,0.06,0.08,0.12,0.24
Russell Westbrook,0.3,0.05,0.3,0.01,0.02,0.01,0.24
Paul George,0.14,0.26,0.29,0.06,0.05,0.04,0.39
CJ McCollum,0.23,0.24,0.4,0.02,0.02,0.01,0.33
DeMar DeRozan,0.37,0.1,0.25,0.02,0.02,0.07,0.1
John Wall,0.23,0.15,0.34,0.01,0.01,0.01,0.24
Klay Thompson,0.11,0.47,0.18,0.09,0.09,0.05,0.47
Blake Griffin,0.16,0.25,0.11,0.14,0.14,0.14,0.03
Brandon Knight,0.22,0.17,0.38,0.02,0.02,0.02,0.39
Isaiah Thomas,0.34,0.15,0.23,0.01,0.01,0.02,0.34
Kobe Bryant,0.13,0.23,0.34,0.03,0.03,0.03,0.42
Kyrie Irving,0.33,0.13,0.35,0.02,0.02,0.02,0.3
Kemba Walker,0.27,0.18,0.32,0.01,0.01,0.0,0.37
Dwyane Wade,0.31,0.05,0.24,0.06,0.08,0.1,0.04
Nikola Vucevic,0.1,0.27,0.08,0.2,0.26,0.1,0.01
Andrew Wiggins,0.21,0.12,0.19,0.1,0.12,0.09,0.15
Derrick Rose,0.42,0.1,0.32,0.02,0.03,0.01,0.14
Eric Bledsoe,0.3,0.11,0.35,0.02,0.02,0.01,0.26
Brook Lopez,0.07,0.17,0.06,0.26,0.29,0.13,0.01
Reggie Jackson,0.4,0.1,0.32,0.01,0.01,0.01,0.27
Kyle Lowry,0.25,0.25,0.25,0.0,0.0,0.0,0.46
Jimmy Butler,0.24,0.11,0.22,0.12,0.14,0.04,0.2
Kawhi Leonard,0.17,0.24,0.26,0.05,0.06,0.04,0.27
Chris Paul,0.19,0.09,0.5,0.01,0.01,0.03,0.3
Gordon Hayward,0.26,0.22,0.23,0.03,0.03,0.04,0.34
Dirk Nowitzki,0.02,0.45,0.2,0.06,0.1,0.08,0.31
Jahlil Okafor,0.14,0.06,0.1,0.18,0.22,0.15,0.01
Bradley Beal,0.22,0.25,0.28,0.05,0.05,0.05,0.34
Khris Middleton,0.15,0.28,0.28,0.02,0.02,0.05,0.32
Chris Bosh,0.12,0.38,0.09,0.14,0.13,0.14,0.29
Rudy Gay,0.17,0.19,0.19,0.09,0.09,0.05,0.21
Jrue Holiday,0.41,0.07,0.36,0.02,0.02,0.04,0.28
LaMarcus Aldridge,0.03,0.23,0.12,0.24,0.29,0.09,0.02
Karl-Anthony Towns,0.07,0.23,0.07,0.2,0.22,0.14,0.08
Ryan Anderson,0.09,0.31,0.24,0.06,0.09,0.07,0.39
Jordan Clarkson,0.26,0.19,0.28,0.06,0.06,0.02,0.29
Pau Gasol,0.09,0.38,0.04,0.13,0.15,0.13,0.07
Marc Gasol,0.01,0.28,0.06,0.2,0.32,0.19,0.0
Avery Bradley,0.07,0.38,0.23,0.07,0.08,0.05,0.4
Victor Oladipo,0.19,0.22,0.28,0.05,0.06,0.04,0.29
Zach Randolph,0.08,0.13,0.07,0.16,0.21,0.06,0.03
Emmanuel Mudiay,0.27,0.18,0.33,0.02,0.04,0.02,0.26
Danilo Gallinari,0.2,0.24,0.12,0.08,0.09,0.03,0.34
Thaddeus Young,0.15,0.07,0.07,0.21,0.26,0.09,0.03
Paul Millsap,0.15,0.21,0.07,0.19,0.22,0.08,0.22
Derrick Favors,0.02,0.2,0.04,0.27,0.32,0.12,0.01
Andre Drummond,0.02,0.02,0.02,0.4,0.44,0.03,0.01
Al Horford,0.06,0.4,0.02,0.23,0.24,0.06,0.24
Kevin Love,0.06,0.41,0.08,0.11,0.18,0.03,0.45
Giannis Antetokounmpo,0.3,0.08,0.08,0.12,0.14,0.06,0.11
Monta Ellis,0.27,0.17,0.32,0.02,0.02,0.02,0.28
Kentavious Caldwell-Pope,0.16,0.27,0.25,0.06,0.06,0.03,0.38
Tyreke Evans,0.42,0.13,0.21,0.01,0.02,0.01,0.27
Ish Smith,0.4,0.09,0.3,0.02,0.02,0.01,0.17
Nicolas Batum,0.07,0.34,0.3,0.03,0.03,0.05,0.46
Mike Conley,0.31,0.16,0.3,0.03,0.03,0.03,0.31
Jeff Teague,0.41,0.14,0.23,0.01,0.02,0.01,0.28
Rodney Hood,0.23,0.3,0.3,0.01,0.02,0.03,0.46
Kristaps Porzingis,0.06,0.36,0.1,0.15,0.16,0.09,0.27
Goran Dragic,0.31,0.16,0.26,0.02,0.02,0.03,0.24
Eric Gordon,0.21,0.37,0.22,0.02,0.01,0.04,0.54
Will Barton,0.27,0.21,0.2,0.03,0.04,0.02,0.33
D'Angelo Russell,0.17,0.25,0.33,0.05,0.06,0.02,0.39
Greg Monroe,0.05,0.06,0.01,0.31,0.36,0.1,0.0
Deron Williams,0.29,0.27,0.26,0.02,0.03,0.03,0.37
Jamal Crawford,0.22,0.22,0.37,0.01,0.01,0.06,0.37
Marcus Morris,0.13,0.28,0.29,0.04,0.06,0.03,0.31
Jabari Parker,0.18,0.12,0.11,0.17,0.22,0.07,0.04
Evan Fournier,0.26,0.31,0.16,0.05,0.06,0.03,0.42
JJ Redick,0.09,0.48,0.26,0.01,0.01,0.03,0.48
Zach LaVine,0.21,0.2,0.29,0.02,0.02,0.02,0.33
Tobias Harris,0.23,0.22,0.08,0.08,0.11,0.05,0.27
Devin Booker,0.2,0.26,0.21,0.05,0.07,0.05,0.33
Arron Afflalo,0.1,0.32,0.32,0.08,0.1,0.07,0.3
Markieff Morris,0.08,0.3,0.17,0.13,0.18,0.1,0.22
Jarrett Jack,0.2,0.14,0.38,0.01,0.01,0.02,0.28
Serge Ibaka,0.02,0.52,0.04,0.2,0.2,0.13,0.21
Jae Crowder,0.13,0.36,0.11,0.09,0.09,0.03,0.44
J.R. Smith,0.1,0.56,0.24,0.02,0.02,0.04,0.6
Wesley Matthews,0.12,0.5,0.19,0.03,0.03,0.01,0.62
Rajon Rondo,0.38,0.16,0.17,0.04,0.04,0.03,0.22
Alec Burks,0.38,0.14,0.26,0.01,0.02,0.04,0.24
Norris Cole,0.23,0.2,0.41,0.01,0.01,0.02,0.21
Al Jefferson,0.0,0.18,0.05,0.29,0.38,0.04,0.0
Chandler Parsons,0.23,0.33,0.16,0.06,0.07,0.06,0.38
Robert Covington,0.16,0.55,0.05,0.04,0.05,0.02,0.68
Joe Johnson,0.21,0.3,0.28,0.02,0.02,0.06,0.37
