PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,16.43,46.64,9.09,0.91,40.91,181.0
Stephen Curry,9.06,75.75,3.85,1.49,54.4,428.0
James Harden,8.16,64.12,4.19,1.27,47.64,415.0
Damian Lillard,8.01,62.41,3.95,1.23,44.08,406.0
Kevin Durant,11.03,56.35,4.46,1.13,42.57,378.0
Anthony Davis,13.03,47.34,4.3,0.95,43.55,223.0
LeBron James,6.68,50.45,5.65,1.0,39.52,268.0
Carmelo Anthony,11.45,50.55,2.63,1.0,37.89,268.0
Russell Westbrook,6.91,46.98,14.18,0.84,34.04,134.0
Paul George,11.25,56.92,5.53,1.11,42.4,361.0
CJ McCollum,14.78,55.86,2.76,1.1,41.34,357.0
DeMar DeRozan,10.64,50.0,7.69,0.99,41.54,267.0
John Wall,12.83,50.47,4.35,1.01,36.09,284.0
Klay Thompson,17.05,59.42,2.91,1.18,43.27,398.0
Blake Griffin,13.27,39.11,1.94,0.77,37.86,83.0
Brandon Knight,14.0,56.12,5.0,1.09,41.25,348.0
Isaiah Thomas,13.3,51.83,3.69,1.08,42.62,345.0
Kobe Bryant,12.68,48.1,2.94,0.98,37.65,254.0
Kyrie Irving,10.65,47.71,1.75,0.96,37.72,238.0
Kemba Walker,13.97,57.73,2.97,1.14,42.37,386.0
Dwyane Wade,7.28,45.41,3.51,0.97,47.37,248.0
Nikola Vucevic,13.41,49.36,3.03,0.97,48.48,243.0
Andrew Wiggins,9.88,49.66,7.6,0.95,39.18,225.0
Derrick Rose,16.68,48.21,6.02,0.94,38.43,215.0
Eric Bledsoe,12.24,43.38,10.84,0.84,34.94,131.0
Brook Lopez,8.5,41.59,9.38,0.8,40.63,107.0
Reggie Jackson,8.17,57.87,1.53,1.17,43.51,394.0
Kyle Lowry,15.72,61.64,8.2,1.16,44.14,390.0
Jimmy Butler,10.62,41.73,2.05,0.96,39.73,231.0
Kawhi Leonard,23.47,63.46,3.86,1.25,49.52,413.0
Chris Paul,6.24,58.72,3.33,1.16,42.22,389.0
Gordon Hayward,19.49,51.5,7.99,0.99,40.58,265.0
Dirk Nowitzki,22.22,46.95,2.05,0.94,36.99,214.0
Jahlil Okafor,4.57,46.97,13.33,0.91,46.67,188.0
Bradley Beal,13.24,57.56,3.88,1.14,44.19,381.0
Khris Middleton,16.39,52.31,3.8,1.06,41.35,329.0
Chris Bosh,26.97,47.03,3.85,0.93,39.62,204.0
Rudy Gay,19.47,46.26,6.56,0.91,38.52,185.0
Jrue Holiday,8.61,44.89,8.74,0.89,38.83,169.0
LaMarcus Aldridge,15.63,41.85,4.0,0.87,42.5,153.0
Karl-Anthony Towns,11.06,56.42,5.0,1.09,49.38,354.0
Ryan Anderson,20.11,49.24,7.14,0.95,38.39,220.0
Jordan Clarkson,13.61,53.25,3.33,1.05,39.44,319.0
Pau Gasol,20.2,50.0,4.23,1.0,46.15,268.0
Marc Gasol,10.47,37.36,6.12,0.7,34.69,55.0
Avery Bradley,20.29,54.39,3.33,1.07,39.58,333.0
Victor Oladipo,17.54,50.0,2.79,1.02,36.74,297.0
Zach Randolph,10.04,41.43,2.7,0.85,40.54,139.0
Emmanuel Mudiay,14.95,40.55,6.04,0.78,31.32,93.0
Danilo Gallinari,21.26,46.39,3.88,0.96,38.83,235.0
Thaddeus Young,9.29,38.3,6.42,0.73,36.7,67.0
Paul Millsap,19.42,44.93,10.04,0.88,39.07,157.0
Derrick Favors,10.65,30.77,0.92,0.64,33.03,34.0
Andre Drummond,1.49,28.57,9.09,0.64,40.91,32.0
Al Horford,23.09,47.77,3.2,0.93,38.43,203.0
Kevin Love,26.33,53.63,4.82,1.06,38.55,331.0
Giannis Antetokounmpo,16.49,41.88,7.36,0.84,38.96,128.0
Monta Ellis,14.66,50.86,5.21,1.01,39.58,281.0
Kentavious Caldwell-Pope,25.54,47.56,7.74,0.9,35.69,175.0
Tyreke Evans,11.27,59.3,0.0,1.23,50.0,405.0
Ish Smith,15.22,51.25,6.82,1.0,43.18,268.0
Nicolas Batum,13.28,48.58,5.26,0.93,34.87,210.0
Mike Conley,12.5,53.33,1.83,1.06,38.53,332.0
Jeff Teague,10.29,72.76,7.97,1.35,50.0,422.0
Rodney Hood,28.55,55.47,4.73,1.09,40.53,350.0
Kristaps Porzingis,24.78,40.59,4.69,0.81,32.85,111.0
Goran Dragic,15.76,54.14,8.38,1.0,40.22,268.0
Eric Gordon,27.62,52.82,3.21,1.06,37.97,326.0
Will Barton,22.59,48.97,5.05,0.97,39.35,241.0
D'Angelo Russell,15.45,51.1,3.66,0.99,35.6,266.0
Greg Monroe,6.23,45.07,1.33,0.96,46.67,233.0
Deron Williams,16.67,55.56,5.33,1.08,41.42,340.0
Jamal Crawford,18.03,53.17,5.24,1.07,39.05,336.0
Marcus Morris,22.69,59.44,9.56,1.12,42.65,372.0
Jabari Parker,22.49,42.11,6.37,0.81,39.44,113.0
Evan Fournier,24.83,53.45,5.86,1.05,39.31,322.0
JJ Redick,16.59,77.03,6.36,1.52,55.49,429.0
Zach LaVine,14.07,64.89,13.1,1.15,44.64,387.0
Tobias Harris,26.75,54.46,2.7,1.11,45.05,362.0
Devin Booker,11.38,44.87,4.65,0.9,34.11,176.0
Arron Afflalo,23.37,53.5,5.96,1.03,39.91,305.0
Markieff Morris,14.77,29.33,9.64,0.54,21.69,14.0
Jarrett Jack,18.42,42.95,7.69,0.89,35.16,163.0
Serge Ibaka,29.83,45.61,2.93,0.9,37.79,172.0
