Fabio Simplicio,Palermo,2009-2010,"defensive_5,passing_0,control_3,attack_1",0.9(0.20930232558139536),0.8(0.186046511627907),0.1(0.02777777777777778),0.0(0.0),1.6(0.3137254901960785)
Salvatore Sirigu,Palermo,2009-2010,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Simon Kjaer,Palermo,2009-2010,"defensive_3,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Dorin Goian,Palermo,2009-2010,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.3(0.06976744186046512),0.4(0.11111111111111112),0.0(0.0),0.2(0.03921568627450981)
Mattia Cassani,Palermo,2009-2010,"defensive_2,passing_5,control_1,attack_1",0.6(0.13953488372093023),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Giulio Migliaccio,Palermo,2009-2010,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.2(0.03921568627450981)
Igor Budan,Palermo,2009-2010,"defensive_5,passing_0,control_3,attack_0",0.6(0.13953488372093023),2.3(0.5348837209302325),1.9(0.5277777777777778),0.1(0.125),3.0(0.5882352941176471)
Antonio Nocerino,Palermo,2009-2010,"defensive_5,passing_5,control_1,attack_1",0.7(0.1627906976744186),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.9(0.17647058823529413)
Mark Bresciano,Palermo,2009-2010,"defensive_5,passing_5,control_1,attack_1",1.1(0.2558139534883721),0.6(0.13953488372093023),0.1(0.02777777777777778),0.1(0.125),1.6(0.3137254901960785)
Fabio Liverani,Palermo,2009-2010,"defensive_2,passing_3,control_3,attack_2",0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Federico Balzaretti,Palermo,2009-2010,"defensive_2,passing_5,control_1,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Edinson Cavani,Palermo,2009-2010,"defensive_1,passing_5,control_3,attack_0",1.1(0.2558139534883721),1.9(0.4418604651162791),0.6(0.16666666666666666),0.3(0.37499999999999994),2.6(0.5098039215686275)
Fabrizio Miccoli,Palermo,2009-2010,"defensive_1,passing_4,control_3,attack_0",2.6(0.6046511627906977),2.3(0.5348837209302325),0.0(0.0),0.5(0.625),2.7(0.5294117647058825)
Cesare Bovo,Palermo,2009-2010,"defensive_3,passing_2,control_1,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Javier Pastore,Palermo,2009-2010,"defensive_5,passing_0,control_3,attack_5",0.8(0.186046511627907),1.1(0.2558139534883721),0.2(0.05555555555555556),0.1(0.125),1.6(0.3137254901960785)
Abel Hernández,Palermo,2009-2010,"defensive_1,passing_5,control_3,attack_0",0.8(0.186046511627907),2.0(0.46511627906976744),0.5(0.1388888888888889),0.4(0.5),2.4(0.47058823529411764)
Ivaylo Chochev,Palermo,2016-2017,"defensive_4,passing_5,control_2,attack_1",0.5(0.11627906976744186),0.9(0.20930232558139536),0.8(0.22222222222222224),0.0(0.0),1.0(0.19607843137254904)
Oscar Hiljemark,Palermo,2016-2017,"defensive_0,passing_5,control_4,attack_1",0.5(0.11627906976744186),0.5(0.11627906976744186),0.0(0.0),0.0(0.0),0.9(0.17647058823529413)
Andrea Rispoli,Palermo,2016-2017,"defensive_0,passing_5,control_4,attack_1",0.4(0.0930232558139535),0.5(0.11627906976744186),0.1(0.02777777777777778),0.1(0.125),0.6(0.11764705882352941)
Thiago Cionek,Palermo,2016-2017,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Haitam Aleesami,Palermo,2016-2017,"defensive_4,passing_5,control_4,attack_2",0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Giuseppe Pezzella,Palermo,2016-2017,"defensive_0,passing_5,control_4,attack_2",0.2(0.04651162790697675),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Bruno Henrique,Palermo,2016-2017,"defensive_4,passing_5,control_4,attack_1",0.6(0.13953488372093023),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.9(0.17647058823529413)
Roland Sallai,Palermo,2016-2017,"defensive_0,passing_5,control_0,attack_4",1.4(0.3255813953488372),1.2(0.27906976744186046),0.1(0.02777777777777778),0.1(0.125),2.2(0.4313725490196079)
Alessandro Diamanti,Palermo,2016-2017,"defensive_0,passing_4,control_0,attack_4",1.7(0.3953488372093023),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),1.5(0.29411764705882354)
Josip Posavec,Palermo,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Sinisa Andjelkovic,Palermo,2016-2017,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Giancarlo Gonzalez,Palermo,2016-2017,"defensive_3,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
