Fabio Simplicio,Palermo,0,2009-2010,37.8(0.33453561767357975),3.6(0.22641509433962265),0.2(0.045454545454545456),1.4(0.4117647058823529),0.2(0.09090909090909091)
Salvatore Sirigu,Palermo,1,2009-2010,3.9(0.028854824165915244),7.5(0.4716981132075472),0.0(0.0),0.0(0.0),0.0(0.0)
Simon Kjaer,Palermo,2,2009-2010,18.8(0.1632100991884581),3.0(0.18867924528301885),0.0(0.0),0.0(0.0),0.0(0.0)
Dorin Goian,Palermo,2,2009-2010,26.2(0.22993688007213708),2.1(0.1320754716981132),0.0(0.0),0.0(0.0),0.0(0.0)
Mattia Cassani,Palermo,5,2009-2010,25.6(0.224526600541028),1.7(0.10691823899371068),1.0(0.22727272727272727),0.9(0.2647058823529412),0.2(0.09090909090909091)
Giulio Migliaccio,Palermo,2,2009-2010,22.4(0.1956717763751127),1.0(0.06289308176100629),0.1(0.022727272727272728),0.2(0.05882352941176471),0.0(0.0)
Igor Budan,Palermo,0,2009-2010,14.8(0.12714156898106405),0.4(0.025157232704402517),0.3(0.06818181818181818),1.8(0.5294117647058824),0.1(0.045454545454545456)
Antonio Nocerino,Palermo,5,2009-2010,31.1(0.2741208295761948),2.8(0.1761006289308176),0.3(0.06818181818181818),0.7(0.20588235294117646),0.1(0.045454545454545456)
Mark Bresciano,Palermo,5,2009-2010,26.9(0.23624887285843102),1.6(0.10062893081761007),0.3(0.06818181818181818),1.2(0.35294117647058826),0.1(0.045454545454545456)
Fabio Liverani,Palermo,3,2009-2010,54.4(0.4842200180342651),7.5(0.4716981132075472),0.6(0.13636363636363635),1.7(0.5),0.5(0.22727272727272727)
Federico Balzaretti,Palermo,5,2009-2010,31.5(0.2777276825969342),1.4(0.0880503144654088),1.1(0.25),0.9(0.2647058823529412),0.3(0.13636363636363635)
Edinson Cavani,Palermo,5,2009-2010,17.5(0.15148782687105503),0.4(0.025157232704402517),0.2(0.045454545454545456),0.7(0.20588235294117646),0.1(0.045454545454545456)
Fabrizio Miccoli,Palermo,4,2009-2010,18.4(0.15960324616771868),1.1(0.06918238993710692),1.5(0.3409090909090909),1.6(0.4705882352941177),0.5(0.22727272727272727)
Cesare Bovo,Palermo,2,2009-2010,26.3(0.23083859332732196),4.4(0.27672955974842767),0.3(0.06818181818181818),0.2(0.05882352941176471),0.1(0.045454545454545456)
Javier Pastore,Palermo,0,2009-2010,29.8(0.26239855725879174),2.2(0.13836477987421383),0.2(0.045454545454545456),1.6(0.4705882352941177),0.2(0.09090909090909091)
Abel Hernández,Palermo,5,2009-2010,14.1(0.12082957619477007),0.3(0.018867924528301886),0.0(0.0),1.4(0.4117647058823529),0.0(0.0)
Ivaylo Chochev,Palermo,5,2016-2017,28.1(0.24706943192064929),1.3(0.08176100628930817),0.2(0.045454545454545456),0.7(0.20588235294117646),0.0(0.0)
Oscar Hiljemark,Palermo,5,2016-2017,40.1(0.3552750225428314),2.0(0.12578616352201258),0.5(0.11363636363636363),0.8(0.23529411764705885),0.3(0.13636363636363635)
Andrea Rispoli,Palermo,5,2016-2017,29.9(0.2633002705139766),1.6(0.10062893081761007),0.8(0.18181818181818182),1.0(0.29411764705882354),0.2(0.09090909090909091)
Thiago Cionek,Palermo,2,2016-2017,32.7(0.28854824165915244),3.2(0.20125786163522014),0.0(0.0),0.0(0.0),0.0(0.0)
Haitam Aleesami,Palermo,5,2016-2017,26.9(0.23624887285843102),0.9(0.05660377358490566),0.6(0.13636363636363635),0.7(0.20588235294117646),0.1(0.045454545454545456)
Giuseppe Pezzella,Palermo,5,2016-2017,19.7(0.17132551848512176),1.8(0.11320754716981132),0.7(0.15909090909090906),0.4(0.11764705882352942),0.0(0.0)
Bruno Henrique,Palermo,5,2016-2017,37.4(0.3309287646528404),2.4(0.1509433962264151),0.9(0.20454545454545453),0.8(0.23529411764705885),0.3(0.13636363636363635)
Roland Sallai,Palermo,5,2016-2017,24.2(0.21190261496844004),0.6(0.03773584905660377),0.2(0.045454545454545456),0.8(0.23529411764705885),0.2(0.09090909090909091)
Alessandro Diamanti,Palermo,4,2016-2017,30.8(0.27141568981064024),4.1(0.2578616352201258),2.0(0.45454545454545453),1.2(0.35294117647058826),1.0(0.45454545454545453)
Josip Posavec,Palermo,1,2016-2017,8.3(0.0685302073940487),8.2(0.5157232704402516),0.0(0.0),0.0(0.0),0.0(0.0)
Sinisa Andjelkovic,Palermo,2,2016-2017,29.4(0.2587917042380523),1.7(0.10691823899371068),0.0(0.0),0.0(0.0),0.0(0.0)
