,index,team_id,opponent_team_id,playerName,AerialLossPerD90m,AerialLossPerDefense,AerialLossTotal,AerialWonPerD90m,AerialWonPerDefense,AerialWonTotal,AttackTimes,ClearPerD90m,ClearPerDefense,ClearTotal,DefendTimes,DispossessedInD3rdPerA90m,DispossessedInD3rdPerAttack,DispossessedInD3rdTotal,DispossessedPerA90m,DispossessedPerAttack,DispossessedTotal,DribblePerA90m,DribblePerAttack,DribbleTotal,ForwardPassMeterPerA90m,ForwardPassMeterPerAttack,ForwardPassMeterTotal,ForwardPassPerA90m,ForwardPassPerAttack,ForwardPassTotal,FoulPerD90m,FoulPerDefense,FoulTotal,FouledPerA90m,FouledPerAttack,FouledTotal,GoalPerA90m,GoalPerAttack,GoalTotal,InterceptionsPerD90m,InterceptionsPerDefense,InterceptionsTotal,KeyPassPerA90m,KeyPassPerAttack,KeyPassTotal,PassCrossAccuratePerA90m,PassCrossAccuratePerAttack,PassCrossAccurateTotal,PassLeadingKpPerA90m,PassLeadingKpPerAttack,PassLeadingKpTotal,PassPerA90m,PassPerAttack,PassTotal,Rounds,SavePerD90m,SavePerDefense,SaveTotal,ShotPerA90m,ShotPerAttack,ShotTotal,SuccessPassPerA90m,SuccessPassPerAttack,SuccessPassTotal,SuccessfulPassToA3rdPerA90m,SuccessfulPassToA3rdPerAttack,SuccessfulPassToA3rdTotal,TacklesPerD90m,TacklesPerDefense,TacklesTotal,TurnoverPerA90m,TurnoverPerAttack,TurnoverTotal,UnSuccessPassPerA90m,UnSuccessPassPerAttack,UnSuccessPassTotal,minutes
0,0,260,974,James Milner,0.3003422488950117,0.271493332634354,0.1038961038961039,0.2809842622380662,0.26080623741592773,0.12371134020618557,0.1755997222476974,0.2150814085765047,0.20130002454648685,0.12698412698412698,0.13894104971525326,0.1485752086301648,0.19847881202462875,0.09090909090909091,0.3001247553407633,0.2845740545466711,0.1346153846153846,0.11449623447995115,0.12475811041548093,0.05714285714285714,0.2691127675444621,0.22708096979422257,0.08391043779442137,0.6957440765731487,0.5535060212679325,0.17372262773722627,0.5861298619210176,0.6315295088367113,0.2926829268292683,0.509627469554602,0.48669982710272075,0.2127659574468085,0.38792319696044497,0.5217647926811273,0.2857142857142857,0.480275965373503,0.4673377742957614,0.16666666666666666,0.49623447995114983,0.5583591559687177,0.29411764705882354,0.4809657267218837,0.6035345796301973,0.4117647058823529,0.44661103195603497,0.4724577473581458,0.28205128205128205,0.7956114065809518,0.6201429428349202,0.2006704980842912,0.16041461006910168,,,,0.13526759555662465,0.1323192080164192,0.06060606060606061,0.6330716349568091,0.5318006558595226,0.18072916666666666,0.8790324497219015,0.7791201915531453,0.29245283018867924,0.5019078113931945,0.5344789769071172,0.15384615384615385,0.500098809450815,0.6051849305199296,0.27450980392156865,0.36620044366099774,0.49836562199886775,0.21722846441947566,0.1598240469208211
1,1,551,1841,Mark Noble,0.036737629541201355,0.044329790966872104,0.06493506493506493,0.062361260218741686,0.06487131582499239,0.061855670103092786,0.41775518492800695,0.06934320347458862,0.07982914102143492,0.12698412698412698,0.5682007080190864,0.42391632596171713,0.4936838101339312,0.45454545454545453,0.451814039664873,0.3636932366329787,0.36538461538461536,0.2613454748188071,0.24825243023877686,0.22857142857142856,0.13920112219807973,0.10987599176907366,0.06830831983383447,0.6337791583010343,0.40437250395335156,0.3554744525547445,0.33338810452537854,0.4042379246681002,0.4146341463414634,0.5920670518024821,0.4839730846442169,0.46808510638297873,0.11068264882611663,0.1297805182412097,0.14285714285714285,0.07240289621344409,0.08987070339760767,0.08333333333333333,0.15102521216626405,0.14814162323521496,0.1568627450980392,0.058812702814747035,0.06433689631223215,0.08823529411764706,0.18534912402223316,0.1709326421944788,0.20512820512820512,0.5609943267628728,0.3628616797936153,0.3438697318007663,0.5358670615333991,,,,0.19297345317137185,0.16456127004464374,0.15151515151515152,0.5011437348913834,0.35610516986940033,0.3203125,0.5570272691152928,0.42952235755802987,0.3632075471698113,0.22256503602906097,0.27377483461319185,0.21153846153846154,0.3473253337996718,0.3567612586535419,0.35294117647058826,0.3356206881110827,0.34465715380795797,0.4307116104868914,0.5566959921798631
2,2,210,790,Mousa Dembélé,0.2395659058977121,0.20077851279475573,0.03896103896103896,0.19694166343671612,0.173241969631434,0.05154639175257732,0.04257995204842317,0.17343440964631351,0.1522571349319937,0.047619047619047616,0.0,0.5064876491812377,0.6328350548534035,0.18181818181818182,0.17182722319114827,0.15398955542442894,0.038461538461538464,0.5854704412989178,0.5966730517189234,0.17142857142857143,0.048796434754059564,0.0463402069410688,0.013114857576836565,0.20304641685688665,0.18657078743667768,0.00145985401459854,0.9486250203276814,0.9759603494337511,0.2682926829268293,0.17476769095006253,0.16290869802290128,0.02127659574468085,0.0,0.0,0.0,0.5000142245887493,0.45703117008157274,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3213221704499858,0.272778108996633,0.02586206896551724,0.02188219809147746,,,,0.0,0.0,0.0,0.38136479763532827,0.3271591276357608,0.046875,0.16235503830038048,0.15756683578244526,0.02358490566037736,0.6660788169412073,0.6693652058396568,0.09615384615384616,0.3873458654522408,0.43322152359786675,0.11764705882352941,0.0658678757388692,0.049256687031412436,0.0,0.0
3,3,2379,1288,Andrew Surman,0.10163636252422721,0.11092531366378543,0.07792207792207792,0.2531041468687017,0.2637248389984695,0.18556701030927836,0.31213070080050304,0.314976870413137,0.3343636561421111,0.3333333333333333,0.3668616284438973,0.0,0.0,0.0,0.038174750116390495,0.04195769115089076,0.038461538461538464,0.12058823529411766,0.12615423967259237,0.08571428571428572,0.15896596486662726,0.13303351639599503,0.0662144776020466,0.4938641565445789,0.3880142023074369,0.2291970802919708,0.11210038023205283,0.12840073413220585,0.12195121951219512,0.13097493554832346,0.1298054741479505,0.0851063829787234,0.0,0.0,0.0,0.07465139673640388,0.09259167766061666,0.05,0.16259837268240623,0.17565569150170757,0.13725490196078433,0.024121736606730598,0.029061359410508924,0.029411764705882353,0.1425375344943172,0.14477117431459416,0.1282051282051282,0.5119325895521177,0.4066991343182124,0.24856321839080459,0.34007897334649556,,,,0.21369716717855977,0.20069992675185158,0.13636363636363635,0.5308278829865275,0.43634737952429953,0.25625,0.4509910923770251,0.39784581749474424,0.24056603773584906,0.0,0.0,0.0,0.28433152966196085,0.325944916885261,0.23529411764705882,0.192763319825015,0.23073134210240778,0.23220973782771537,0.37732160312805474
4,4,2196,606,Dan Gosling,0.573837858124637,0.5717940975530151,0.3116883116883117,0.30892947276648464,0.3112315321302592,0.20618556701030927,0.2693804289438861,0.41978178571776437,0.42687491106962766,0.3968253968253968,0.31569955364014196,0.230101188412193,0.2842241751908947,0.18181818181818182,0.3231459856824075,0.27954403955497875,0.19230769230769232,0.265983671153422,0.267982793751415,0.17142857142857143,0.1336978036687576,0.11030680119082609,0.050808620503390585,0.4497302637878185,0.3341835143683467,0.18686131386861313,0.4627791501124027,0.5447892275236039,0.36585365853658536,0.6791924664279292,0.5907872504814896,0.3829787234042553,0.0,0.0,0.0,0.17539816479459788,0.19299395035739333,0.1,0.10247034223329024,0.10661031871808417,0.0784313725490196,0.026602877310565733,0.030866756064854322,0.029411764705882353,0.0943192922829149,0.09225892965988054,0.07692307692307693,0.33242906981640097,0.2720498963823112,0.1724137931034483,0.30783152352747617,,,,0.20949144058559946,0.18948278346059644,0.12121212121212122,0.26966288271634153,0.25302011935196916,0.15572916666666667,0.35242194666643095,0.30257023365701546,0.17452830188679244,0.15035963176051395,0.1741599461624664,0.07692307692307693,0.20501777921467176,0.22208221223935234,0.1568627450980392,0.427247960640784,0.5082216482071005,0.34831460674157305,0.3181818181818182
5,5,3006,1338,David Silva,0.15319631355058522,0.08941677031053134,0.07792207792207792,0.1800745574198006,0.12974834617745348,0.10309278350515463,0.6257549753036277,0.09409595247576466,0.060594134965094124,0.07936507936507936,0.2418346929352011,0.0,0.0,0.0,0.25955299168420903,0.3717877560225695,0.3076923076923077,0.5250593985472813,0.8192691029900333,0.6285714285714286,0.10191067114969789,0.11486094568229166,0.06181607997674213,0.36561963958025395,0.615432797837423,0.38905109489051093,0.5122612833865193,0.40426008299250676,0.34146341463414637,0.29101227364855936,0.43043161101141897,0.3404255319148936,0.485167334193198,0.93446088794926,0.8571428571428571,0.3174776626145664,0.22311473424511463,0.15,0.6206299640214513,1.0,0.8823529411764706,0.22915567902330505,0.41177427223938856,0.47058823529411764,0.6601245980955438,1.0,1.0,0.5797527508980506,0.8489576945395989,0.5138888888888888,0.4113195129976966,,,,0.5357250119825642,0.750432442821449,0.5757575757575758,0.5506965962838157,0.7931986995768517,0.48854166666666665,0.39248187950754293,0.5738774595355811,0.3867924528301887,0.3167627960685079,0.22234897049660363,0.1346153846153846,0.17871510251887573,0.33450420707762657,0.27450980392156865,0.1609781667869586,0.48314661823486066,0.4232209737827715,0.5146627565982405
6,6,3542,2043,João Moutinho,0.3417697313030362,0.34362048860085365,0.36363636363636365,0.12110867990510983,0.1224140407319105,0.14432989690721648,0.5776985863455918,0.224106303980893,0.23187308813198837,0.4126984126984127,0.7237186393720183,0.06605165049949326,0.07985104832834129,0.09090909090909091,0.18166584547628087,0.1558218092200378,0.21153846153846154,0.20360503836687424,0.20076835008268668,0.22857142857142856,0.13928223205852736,0.11281472717641206,0.08483853440767357,0.5070513101868525,0.3550268729513731,0.4248175182481752,0.5639860854118277,0.6696616549518357,0.8048780487804879,0.33685131358707493,0.2912769166713229,0.3617021276595745,0.08622894647941703,0.1049569605224102,0.14285714285714285,0.3496967233815468,0.3778911646085454,0.4,0.6029993726171515,0.614006134362323,0.803921568627451,0.45818901671659723,0.5203096102472772,0.8823529411764706,0.6317454624425812,0.6047902824394366,0.8974358974358975,0.6065391206051639,0.4169858958656395,0.4875478927203065,0.7125699243172096,,,,0.19544045127692158,0.17301060471140614,0.19696969696969696,0.4812984388899983,0.3675088983390909,0.42135416666666664,0.5496670775051851,0.4442214171183379,0.4716981132075472,0.511926805102366,0.6078073933530517,0.5576923076923077,0.14496263634229023,0.14971156973746935,0.21568627450980393,0.2764648512600875,0.29907456449544984,0.5168539325842697,0.7419354838709677
7,7,4008,1947,Fernandinho,0.9625112786037171,0.703201806790268,0.6883116883116883,0.6977276423875945,0.5307759372275502,0.6185567010309279,0.9561492001519776,0.7989805987122774,0.5990885965233363,1.0,0.4862090195474837,0.04337607853390696,0.08078624078624078,0.09090909090909091,0.11324049073573407,0.17463688282588075,0.23076923076923078,0.2674146086377791,0.4062393822393822,0.45714285714285713,0.2079853607393509,0.23349449481789125,0.19728749854552666,0.6360240714620299,0.8442056187172091,0.7897810218978102,0.8322385958245175,0.7243978766956943,0.8536585365853658,0.23843678848926564,0.35007436157606814,0.425531914893617,0.056626496478175796,0.10618618618618617,0.14285714285714285,0.7123074224603363,0.5535417394341601,0.5666666666666667,0.18350724568784516,0.28787187187187185,0.37254901960784315,0.0,0.0,0.0,0.2015067602170357,0.29719565719565716,0.4358974358974359,0.5965404979019764,0.8318141766153654,0.7849616858237548,0.7018756169792695,,,,0.2665639903107519,0.3635380835380836,0.4090909090909091,0.60552773441166,0.8155924258164712,0.7661458333333333,0.7707047254000238,1.0,0.9764150943396226,0.8872372999821352,0.7570406300659935,0.6730769230769231,0.16348643292096438,0.29804431715712904,0.37254901960784315,0.21515273993905676,0.564454062508822,0.7378277153558053,0.8528836754643206
8,8,1104,410,Steven Defour,0.18195931134073534,0.22955550788665302,0.03896103896103896,0.0,0.0,0.0,0.0,0.17014733906707602,0.21474132349076105,0.06349206349206349,0.044435893489302734,0.0,0.0,0.0,0.04236857703902666,0.03128174459933676,0.0,0.12598996595592188,0.10974632843791722,0.02857142857142857,0.11181896170920075,0.08572642399893449,0.0213989506595405,0.548541694962039,0.297911099470482,0.01167883211678832,0.0,0.0,0.0,0.14015113432496437,0.10620443955903751,0.0,0.0,0.0,0.0,0.336372042774135,0.4386904625890755,0.06666666666666667,0.1456130920384638,0.13097957770854965,0.0392156862745098,0.0,0.0,0.0,0.1787069765926601,0.15113028197140346,0.05128205128205128,0.6660333131726889,0.35597239228263167,0.028735632183908046,0.0,,,,0.0,0.0,0.0,0.5579064766528865,0.33532489565401186,0.0375,0.5557146176203039,0.3843755106412862,0.0660377358490566,0.16323376053498284,0.2493801660533443,0.0,0.029806226573042383,0.012318586157061525,0.0,0.5252081612472981,0.4924632944021313,0.07865168539325842,0.0
9,9,1190,1122,Kevin McDonald,0.008531661362878185,0.010394421802421203,0.0,0.416137273620087,0.40891261127330697,0.15463917525773196,0.08780641188570226,0.32560797202438657,0.32340694314974355,0.15873015873015872,0.0855010004617516,0.0,0.0,0.0,0.06678992798955871,0.061692327451284716,0.019230769230769232,0.0,0.0,0.0,0.1170373546302142,0.09686968109451051,0.029295405588299038,0.5820596707183094,0.40646636843818174,0.08248175182481751,0.34871346278434256,0.39444567595095864,0.14634146341463414,0.19358566437355493,0.17343231619666974,0.0425531914893617,0.0,0.0,0.0,0.17483435710648093,0.18577368920088058,0.03333333333333333,0.18196745782952678,0.18676044172990314,0.0784313725490196,0.0,0.0,0.0,0.16749277368399623,0.1616196130354931,0.07692307692307693,0.5876153546859046,0.41217878661763996,0.09147509578544061,0.08506087528792367,,,,0.18600808804570568,0.16596840139316543,0.06060606060606061,0.576871119288595,0.4294324367946645,0.10416666666666667,0.3454056906587499,0.2916881352357346,0.08018867924528301,0.24613020567438385,0.2774404564461177,0.038461538461538464,0.1005221107399647,0.10203057985985674,0.0392156862745098,0.28341839717630907,0.3135290999667933,0.10112359550561797,0.07624633431085044
