name,counts
0,3
00,1
00jj6iwsvu,1
01h9zj6kcs,1
01jak5qldd,11
01pkm28pk8,1
01pljfsvzv,1
02i7zeehnf,1
02vwckrkex,1
02x7owdbpn,1
03kyjw52ue,1
03oaxbd9sp,1
040nhmz9xz,1
064n5yyziz,1
06aecyoanh,1
07,2
07r2uakrdx,1
07zjkkeqtf,1
08,1
08sonwjhwa,1
08svzybkgw,1
0a0xwuusix,1
0bbcbd0cbx,1
0brqcwhz0a,1
0ccuujnxq6,1
0d2qkedwdb,1
0dbavhjzjn,1
0dk9t4fokz,1
0dmvbifgle,1
0e2nqheekb,1
0f79kx9uep,1
0fjb7uhcft,1
0gzs9yr7uf,1
0h0jlqmvzj,1
0hbdwudqcg,1
0jq3fhlcnl,1
0kbkwsihlj,1
0kvgg1uv6n,1
0kwzsnmtyk,1
0l6rhmk6qa,1
0ll4t6iqy7,1
0m3apjscfa,1
0mbxj0opmb,1
0mfefcbt2r,1
0mrx93m93u,1
0omrjvmp1s,1
0petzcecb0,1
0pzqgubywd,1
0qfnuoeuru,1
0qt4147fgr,1
0rmbnjaqko,1
0s1lananus,1
0sgrzwineb,1
0sm695beer,1
0sxoptz4cs,1
0sxsty7min,1
0upf8wo8jn,1
0vhpzwton6,1
0vljqenwi8,1
0vvg7qibm0,1
0wcm5bwbuu,1
0wufmamc4i,1
0x935zdljf,1
0y6wrcpamj,1
0zj5y5mtfi,1
0zouwjzixm,1
0zqwiris8i,1
1,46
"1,2,3,4",1
"1,5",1
1.08,1
1.5m,3
1.5million,1
1.8m,1
10,25
"10,5",1
10.5m,1
100,19
"100,000",1
100m,29
100pc,1
105m,2
106ubizbvy,1
109m,1
10am,1
10m,37
10ynbe8lve,1
11,6
113m,1
114m,1
"115,000",1
115m,1
118m,1
11m,2
11pm,2
12,6
12.7.15,1
120k,1
120m,2
125,1
"125,000",2
125k,1
128m,1
12m,15
12million,1
13,3
13.5m,1
130,1
130m,2
131m,1
135,1
135m,2
138m,4
13m,6
13million,1
13szczesny13,2
13th,1
13wulskxag,1
14,3
140,3
"140,000",1
140m,1
141m,1
"142,5",1
143m,1
